id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libxml-simple-perl,libxml-simple-perl,libxml-simple-perl,Perl module for reading and writing XML,,,1,1,,,,Section=perl; Version=2.25-2,,,,,,,
perl:any,perl:any,perl:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libxml-libxml-perl,libxml-libxml-perl,libxml-libxml-perl,Perl interface to the libxml2 library,,,1,1,,,,Section=perl; Version=2.0207+dfsg+really+2.0134-5+b2,,,,,,,
libxml-namespacesupport-perl,libxml-namespacesupport-perl,libxml-namespacesupport-perl,Perl module for supporting simple generic namespaces,,,1,1,,,,Section=perl; Version=1.12-2,,,,,,,
libxml-sax-perl,libxml-sax-perl,libxml-sax-perl,Perl module for using and building Perl SAX2 XML processors,,,1,1,,,,Section=perl; Version=1.02+dfsg-4,,,,,,,
perl,perl,perl,Larry Wall's Practical Extraction and Report Language,,,1,1,,,,Section=perl; Version=5.40.1-6,,,,,,,
perlapi-5.40.0,perlapi-5.40.0,perlapi-5.40.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libxml2,libxml2,libxml2,GNOME XML library,,,1,1,,,,Section=libs; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1,,,,,,,
libxml-sax-base-perl,libxml-sax-base-perl,libxml-sax-base-perl,base class for SAX drivers and filters,,,1,1,,,,Section=perl; Version=1.09-3,,,,,,,
ucf,ucf,ucf,Update Configuration File(s): preserve user changes to config files,,,1,1,,,,Section=utils; Version=3.0052,,,,,,,
libwww-perl,libwww-perl,libwww-perl,simple and consistent interface to the world-wide web,,,1,1,,,,Section=perl; Version=6.78-1,,,,,,,
libxml-sax-expat-perl,libxml-sax-expat-perl,libxml-sax-expat-perl,Perl module for a SAX2 driver for Expat (XML::Parser),,,1,1,,,,Section=perl; Version=0.51-2,,,,,,,
,,,,,,,,,,,,perl:any,libxml-simple-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-libxml-perl,libxml-simple-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-namespacesupport-perl,libxml-simple-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-sax-perl,libxml-simple-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perlapi-5.40.0,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml2,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-namespacesupport-perl,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-sax-perl,libxml-libxml-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libxml-namespacesupport-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,perl:any,libxml-sax-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-namespacesupport-perl,libxml-sax-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxml-sax-base-perl,libxml-sax-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ucf,libxml-sax-perl,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libwww-perl,libxml-sax-perl,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libxml-sax-expat-perl,libxml-sax-perl,Recommends,#333,1,Recommends,{}
