id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
bpftool,bpftool,bpftool,Inspection and simple manipulation of BPF programs and maps,,,1,1,,,,Section=devel; Version=7.5.0+6.12.43-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcap2,libcap2,libcap2,POSIX 1003.1e capabilities (library),,,1,1,,,,Section=libs; Version=1:2.75-10+b1,,,,,,,
libelf1t64,libelf1t64,libelf1t64,library to read and write ELF files,,,1,1,,,,Section=libs; Version=0.192-4,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
,,,,,,,,,,,,libc6,bpftool,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcap2,bpftool,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libelf1t64,bpftool,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,bpftool,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libcap2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libelf1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libzstd1,libelf1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libelf1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,zlib1g,Depends,#333,1,Depends,{}
