id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"logrotate","logrotate","logrotate","Log rotation utility","","","1","1","","","","Section=admin; Version=3.22.0-1","","","","","","","",""
"cron","cron","cron","process scheduling daemon","","","1","1","","","","Section=admin; Version=3.0pl1-197","","","","","","","",""
"libacl1","libacl1","libacl1","access control list - shared library","","","1","1","","","","Section=libs; Version=2.3.2-2+b1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libpopt0","libpopt0","libpopt0","lib for parsing cmdline parameters","","","1","1","","","","Section=libs; Version=1.19+dfsg-2","","","","","","","",""
"libselinux1","libselinux1","libselinux1","SELinux runtime shared libraries","","","1","1","","","","Section=libs; Version=3.8.1-1","","","","","","","",""
"libpam0g","libpam0g","libpam0g","Pluggable Authentication Modules library","","","1","1","","","","Section=libs; Version=1.7.0-5","","","","","","","",""
"sensible-utils","sensible-utils","sensible-utils","Utilities for sensible alternative selection","","","1","1","","","","Section=utils; Version=0.0.25","","","","","","","",""
"libpam-runtime","libpam-runtime","libpam-runtime","Runtime support for the PAM library","","","1","1","","","","Section=admin; Version=1.7.0-5","","","","","","","",""
"default-mta","default-mta","default-mta","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"libpcre2-8-0","libpcre2-8-0","libpcre2-8-0","New Perl Compatible Regular Expression Library- 8 bit runtime files","","","1","1","","","","Section=libs; Version=10.46-1~deb13u1","","","","","","","",""
"","","","","","","","","","","","","logrotate","cron","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","logrotate","libacl1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","logrotate","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","logrotate","libpopt0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","logrotate","libselinux1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","libpam0g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","libselinux1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","sensible-utils","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","libpam-runtime","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","cron","default-mta","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libacl1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libpopt0","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libselinux1","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libselinux1","libpcre2-8-0","Depends","#333","1","Depends","arrow","{}"
