id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libldm-common-dev,libldm-common-dev,libldm-common-dev,Lomiri Upload/Download Manager - development files (Qt5),,,1,1,,,,Section=libdevel; Version=0.2.1-3,,,,,,,
libldm-common0t64,libldm-common0t64,libldm-common0t64,Lomiri Upload/Download Manager - shared library (Qt5),,,1,1,,,,Section=libs; Version=0.2.1-3,,,,,,,
qtbase5-dev,qtbase5-dev,qtbase5-dev,Qt 5 base development files,,,1,1,,,,Section=libdevel; Version=5.15.15+dfsg-6,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgoogle-glog0v6t64,libgoogle-glog0v6t64,libgoogle-glog0v6t64,library that implements application-level logging.,,,1,1,,,,Section=libs; Version=0.6.0-2.1,,,,,,,
libqt5core5t64,libqt5core5t64,libqt5core5t64,Qt 5 core module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5dbus5t64,libqt5dbus5t64,libqt5dbus5t64,Qt 5 D-Bus module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5network5t64,libqt5network5t64,libqt5network5t64,Qt 5 network module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
lomiri-download-manager-common,lomiri-download-manager-common,lomiri-download-manager-common,Lomiri Download Manager - Common files,,,1,1,,,,Section=net; Version=0.2.1-3,,,,,,,
libegl-dev,libegl-dev,libegl-dev,Vendor neutral GL dispatch library -- EGL development files,,,1,1,,,,Section=libs; Version=1.7.0-1+b2,,,,,,,
libgl-dev,libgl-dev,libgl-dev,Vendor neutral GL dispatch library -- GL development files,,,1,1,,,,Section=libs; Version=1.7.0-1+b2,,,,,,,
libglu1-mesa-dev,libglu1-mesa-dev,libglu1-mesa-dev,Mesa OpenGL utility library -- development files,,,1,1,,,,Section=libdevel; Version=9.0.2-1.1+b3,,,,,,,
libqt5concurrent5t64,libqt5concurrent5t64,libqt5concurrent5t64,Qt 5 concurrent module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5gui5t64,libqt5gui5t64,libqt5gui5t64,Qt 5 GUI module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5printsupport5t64,libqt5printsupport5t64,libqt5printsupport5t64,Qt 5 print support module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5sql5t64,libqt5sql5t64,libqt5sql5t64,Qt 5 SQL module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5test5t64,libqt5test5t64,libqt5test5t64,Qt 5 test module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5widgets5t64,libqt5widgets5t64,libqt5widgets5t64,Qt 5 widgets module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5xml5t64,libqt5xml5t64,libqt5xml5t64,Qt 5 XML module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libvulkan-dev,libvulkan-dev,libvulkan-dev,Vulkan loader library -- development files,,,1,1,,,,Section=libdevel; Version=1.4.309.0-1,,,,,,,
libxext-dev,libxext-dev,libxext-dev,X11 miscellaneous extensions library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.3.4-1+b3,,,,,,,
qt5-qmake,qt5-qmake,qt5-qmake,Qt 5 qmake Makefile generator tool,,,1,1,,,,Section=devel; Version=5.15.15+dfsg-6,,,,,,,
qtbase5-dev-tools,qtbase5-dev-tools,qtbase5-dev-tools,Qt 5 base development programs,,,1,1,,,,Section=devel; Version=5.15.15+dfsg-6,,,,,,,
qtchooser,qtchooser,qtchooser,Wrapper to select between Qt development binary versions,,,1,1,,,,Section=libdevel; Version=66-2,,,,,,,
libqt5opengl5-dev,libqt5opengl5-dev,libqt5opengl5-dev,Qt 5 OpenGL library development files,,,1,1,,,,Section=libdevel; Version=5.15.15+dfsg-6,,,,,,,
,,,,,,,,,,,,libldm-common0t64,libldm-common-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qtbase5-dev,libldm-common-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgoogle-glog0v6t64,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5core5t64,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5dbus5t64,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5network5t64,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,lomiri-download-manager-common,libldm-common0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libegl-dev,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgl-dev,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglu1-mesa-dev,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5concurrent5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5core5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5dbus5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5gui5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5network5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5printsupport5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5sql5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5test5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5widgets5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5xml5t64,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libvulkan-dev,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxext-dev,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qt5-qmake,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qtbase5-dev-tools,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qtchooser,qtbase5-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5opengl5-dev,qtbase5-dev,Recommends,#333,1,Recommends,{}
