id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"lomiri-keyboard","lomiri-keyboard","lomiri-keyboard","Lomiri on-screen keyboard","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"maliit-framework","maliit-framework","maliit-framework","Maliit Input Method Framework","","","1","1","","","","Section=misc; Version=2.3.0-5+b1","","","","","","","",""
"qml-module-qtquick-window2","qml-module-qtquick-window2","qml-module-qtquick-window2","Qt 5 window 2 QML module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-3","","","","","","","",""
"libqt5gui5","libqt5gui5","libqt5gui5","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"lomiri-keyboard-data","lomiri-keyboard-data","lomiri-keyboard-data","Lomiri on-screen keyboard data files","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"init-system-helpers","init-system-helpers","init-system-helpers","helper tools for all init systems","","","1","1","","","","Section=admin; Version=1.69~deb13u1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgsettings-qt1","libgsettings-qt1","libgsettings-qt1","library to access GSettings from Qt5 (shared libraries)","","","1","1","","","","Section=libs; Version=1.0.0-4","","","","","","","",""
"libmaliit-plugins2","libmaliit-plugins2","libmaliit-plugins2","Maliit Input Method Framework - Plugin Library","","","1","1","","","","Section=libs; Version=2.3.0-5+b1","","","","","","","",""
"libqt5core5t64","libqt5core5t64","libqt5core5t64","Qt 5 core module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-6","","","","","","","",""
"libqt5dbus5t64","libqt5dbus5t64","libqt5dbus5t64","Qt 5 D-Bus module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-6","","","","","","","",""
"libqt5gui5t64","libqt5gui5t64","libqt5gui5t64","Qt 5 GUI module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-6","","","","","","","",""
"libqt5qml5","libqt5qml5","libqt5qml5","Qt 5 QML module","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-3","","","","","","","",""
"libqt5quick5","libqt5quick5","libqt5quick5","Qt 5 Quick library","","","1","1","","","","Section=libs; Version=5.15.15+dfsg-3","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"lomiri-keyboard-english","lomiri-keyboard-english","lomiri-keyboard-english","Lomiri on-screen keyboard data files - English","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"lomiri-keyboard-dutch","lomiri-keyboard-dutch","lomiri-keyboard-dutch","Lomiri on-screen keyboard data files - Dutch","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"lomiri-keyboard-french","lomiri-keyboard-french","lomiri-keyboard-french","Lomiri on-screen keyboard data files - French","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"lomiri-keyboard-german","lomiri-keyboard-german","lomiri-keyboard-german","Lomiri on-screen keyboard data files - German","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
"lomiri-keyboard-italian","lomiri-keyboard-italian","lomiri-keyboard-italian","Lomiri on-screen keyboard data files - Italian","","","1","1","","","","Section=libs; Version=1.0.3-1","","","","","","","",""
