id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libluajit-5.1-2","libluajit-5.1-2","libluajit-5.1-2","OpenResty-maintained branch of LuaJIT (shared objects)","","","1","1","","","","Section=libs; Version=2.1.0+openresty20250117-2","","","","","","","",""
"libluajit-5.1-common","libluajit-5.1-common","libluajit-5.1-common","OpenResty-maintained branch of LuaJIT (common files)","","","1","1","","","","Section=interpreters; Version=2.1.0+openresty20250117-2","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"","","","","","","","","","","","","libluajit-5.1-2","libluajit-5.1-common","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libluajit-5.1-2","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libluajit-5.1-2","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libgcc-s1","gcc-14-base","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libgcc-s1","libc6","Depends","#333","1","Depends","arrow","{}"
