id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
luanti,luanti,luanti,Multiplayer infinite-world block sandbox,,,1,1,,,,Section=games; Version=5.10.0+dfsg-5,,,,,,,
luanti-data,luanti-data,luanti-data,Multiplayer infinite-world block sandbox (data files),,,1,1,,,,Section=games; Version=5.10.0+dfsg-5,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcurl4t64,libcurl4t64,libcurl4t64,easy-to-use client-side URL transfer library (OpenSSL flavour),,,1,1,,,,Section=libs; Version=8.14.1-2,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgl1,libgl1,libgl1,Vendor neutral GL dispatch library -- legacy GL support,,,1,1,,,,Section=libs; Version=1.7.0-1+b2,,,,,,,
libgmp10,libgmp10,libgmp10,Multiprecision arithmetic library,,,1,1,,,,Section=libs; Version=2:6.3.0+dfsg-3,,,,,,,
libjpeg62-turbo,libjpeg62-turbo,libjpeg62-turbo,libjpeg-turbo JPEG runtime library,,,1,1,,,,Section=libs; Version=1:2.1.5-4,,,,,,,
libjsoncpp26,libjsoncpp26,libjsoncpp26,library for reading and writing JSON for C++,,,1,1,,,,Section=libs; Version=1.9.6-3,,,,,,,
libleveldb1d,libleveldb1d,libleveldb1d,fast key-value storage library,,,1,1,,,,Section=libs; Version=1.23-5+b2,,,,,,,
libluajit-5.1-2,libluajit-5.1-2,libluajit-5.1-2,OpenResty-maintained branch of LuaJIT (shared objects),,,1,1,,,,Section=libs; Version=2.1.0+openresty20250117-2,,,,,,,
libopenal1,libopenal1,libopenal1,Software implementation of the OpenAL audio API (shared library),,,1,1,,,,Section=libs; Version=1:1.24.2-1,,,,,,,
libpng16-16t64,libpng16-16t64,libpng16-16t64,PNG library - runtime (version 1.6),,,1,1,,,,Section=libs; Version=1.6.48-1,,,,,,,
