id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
dmeventd,dmeventd,dmeventd,Linux Kernel Device Mapper event daemon,,,1,1,,,,Section=admin; Version=2:1.02.205-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libdevmapper-event1.02.1,libdevmapper-event1.02.1,libdevmapper-event1.02.1,Linux Kernel Device Mapper event support library,,,1,1,,,,Section=libs; Version=2:1.02.205-2,,,,,,,
libdevmapper1.02.1,libdevmapper1.02.1,libdevmapper1.02.1,Linux Kernel Device Mapper userspace library,,,1,1,,,,Section=libs; Version=2:1.02.205-2,,,,,,,
liblvm2cmd2.03,liblvm2cmd2.03,liblvm2cmd2.03,LVM2 command library,,,1,1,,,,Section=libs; Version=2.03.31-2,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
libudev1,libudev1,libudev1,libudev shared library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
dmsetup,dmsetup,dmsetup,Linux Kernel Device Mapper userspace library,,,1,1,,,,Section=admin; Version=2:1.02.205-2,,,,,,,
libaio1t64,libaio1t64,libaio1t64,Linux kernel AIO access library - shared library,,,1,1,,,,Section=libs; Version=0.3.113-8+b1,,,,,,,
libblkid1,libblkid1,libblkid1,block device ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
,,,,,,,,,,,,libc6,dmeventd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdevmapper-event1.02.1,dmeventd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdevmapper1.02.1,dmeventd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblvm2cmd2.03,dmeventd,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libdevmapper-event1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdevmapper1.02.1,libdevmapper-event1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libdevmapper1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,libdevmapper1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev1,libdevmapper1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,dmsetup,libdevmapper1.02.1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libaio1t64,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libblkid1,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libdevmapper-event1.02.1,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libselinux1,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsystemd0,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libudev1,liblvm2cmd2.03,Depends,#333,1,Depends,{}
,,,,,,,,,,,,dmeventd,liblvm2cmd2.03,Depends,#333,1,Depends,{}
