id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libmrpt-apps-dev","libmrpt-apps-dev","libmrpt-apps-dev","Mobile Robot Programming Toolkit - apps development package","","","1","1","","","","Section=libdevel; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-apps2.14","libmrpt-apps2.14","libmrpt-apps2.14","Mobile Robot Programming Toolkit - apps library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-slam-dev","libmrpt-slam-dev","libmrpt-slam-dev","Mobile Robot Programming Toolkit - slam development package","","","1","1","","","","Section=libdevel; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-gui-dev","libmrpt-gui-dev","libmrpt-gui-dev","Mobile Robot Programming Toolkit - gui development package","","","1","1","","","","Section=libdevel; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-tclap-dev","libmrpt-tclap-dev","libmrpt-tclap-dev","Mobile Robot Programming Toolkit - tclap development package","","","1","1","","","","Section=libdevel; Version=1:2.14.7+ds-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libmrpt-bayes2.14","libmrpt-bayes2.14","libmrpt-bayes2.14","Mobile Robot Programming Toolkit - bayes library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-config2.14","libmrpt-config2.14","libmrpt-config2.14","Mobile Robot Programming Toolkit - config library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-containers2.14","libmrpt-containers2.14","libmrpt-containers2.14","Mobile Robot Programming Toolkit - containers library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-core2.14","libmrpt-core2.14","libmrpt-core2.14","Mobile Robot Programming Toolkit - core library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-gui2.14","libmrpt-gui2.14","libmrpt-gui2.14","Mobile Robot Programming Toolkit - gui library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
"libmrpt-hwdrivers2.14","libmrpt-hwdrivers2.14","libmrpt-hwdrivers2.14","Mobile Robot Programming Toolkit - hwdrivers library","","","1","1","","","","Section=libs; Version=1:2.14.7+ds-1+b3","","","","","","","",""
