id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libnode-dev","libnode-dev","libnode-dev","evented I/O for V8 javascript (development files)","","","1","1","","","","Section=libdevel; Version=20.19.2+dfsg-1","","","","","","","",""
"libssl-dev","libssl-dev","libssl-dev","Secure Sockets Layer toolkit - development files","","","1","1","","","","Section=libdevel; Version=3.5.1-1","","","","","","","",""
"libuv1-dev","libuv1-dev","libuv1-dev","asynchronous event notification library - development files","","","1","1","","","","Section=libdevel; Version=1.50.0-2","","","","","","","",""
"libnode115","libnode115","libnode115","evented I/O for V8 javascript - runtime library","","","1","1","","","","Section=libs; Version=20.19.2+dfsg-1","","","","","","","",""
"libssl3t64","libssl3t64","libssl3t64","Secure Sockets Layer toolkit - shared libraries","","","1","1","","","","Section=libs; Version=3.5.1-1","","","","","","","",""
"libuv1t64","libuv1t64","libuv1t64","asynchronous event notification library - runtime library","","","1","1","","","","Section=libs; Version=1.50.0-2","","","","","","","",""
"libbrotli1","libbrotli1","libbrotli1","library implementing brotli encoder and decoder (shared libraries)","","","1","1","","","","Section=libs; Version=1.1.0-2+b7","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcares2","libcares2","libcares2","asynchronous name resolver","","","1","1","","","","Section=libs; Version=1.34.5-1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libicu76","libicu76","libicu76","International Components for Unicode","","","1","1","","","","Section=libs; Version=76.1-4","","","","","","","",""
"libnghttp2-14","libnghttp2-14","libnghttp2-14","library implementing HTTP/2 protocol (shared library)","","","1","1","","","","Section=libs; Version=1.64.0-1.1","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"node-acorn","node-acorn","node-acorn","ECMAScript parser for Node.js","","","1","1","","","","Section=javascript; Version=8.8.1+ds+~cs25.17.7-2","","","","","","","",""
"node-cjs-module-lexer","node-cjs-module-lexer","node-cjs-module-lexer","Fast lexer to extract named exports from CommonJS modules","","","1","1","","","","Section=javascript; Version=1.2.3+dfsg-1","","","","","","","",""
"node-minimatch","node-minimatch","node-minimatch","Convert glob expressions into RegExp objects for Node.js","","","1","1","","","","Section=javascript; Version=9.0.3-6","","","","","","","",""
"node-undici","node-undici","node-undici","Node.js HTTP/1.1 client","","","1","1","","","","Section=javascript; Version=7.3.0+dfsg1+~cs24.12.11-1","","","","","","","",""
"","","","","","","","","","","","","libnode-dev","libssl-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode-dev","libuv1-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode-dev","libnode115","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libssl-dev","libssl3t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libuv1-dev","libuv1t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libbrotli1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libcares2","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libicu76","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libnghttp2-14","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libssl3t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","libuv1t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","node-acorn","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","node-cjs-module-lexer","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","node-minimatch","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libnode115","node-undici","Depends","#333","1","Depends","arrow","{}"
