id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
octave,octave,octave,GNU Octave language for numerical computations,,,1,1,,,,Section=math; Version=9.4.0-1,,,,,,,
libamd3,libamd3,libamd3,approximate minimum degree ordering library for sparse matrices,,,1,1,,,,Section=libs; Version=1:7.10.1+dfsg-1,,,,,,,
libarpack2t64,libarpack2t64,libarpack2t64,Fortran77 subroutines to solve large scale eigenvalue problems,,,1,1,,,,Section=libs; Version=3.9.1-6,,,,,,,
libblas3,libblas3,libblas3,"Basic Linear Algebra Reference implementations, shared library",,,1,1,,,,Section=libs; Version=3.12.1-6,,,,,,,
libbz2-1.0,libbz2-1.0,libbz2-1.0,high-quality block-sorting file compressor library - runtime,,,1,1,,,,Section=libs; Version=1.0.8-6,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libccolamd3,libccolamd3,libccolamd3,constrained column approximate library for sparse matrices,,,1,1,,,,Section=libs; Version=1:7.10.1+dfsg-1,,,,,,,
libcholmod5,libcholmod5,libcholmod5,sparse Cholesky factorization library for sparse matrices,,,1,1,,,,Section=libs; Version=1:7.10.1+dfsg-1,,,,,,,
libcolamd3,libcolamd3,libcolamd3,column approximate minimum degree ordering library for sparse matrices,,,1,1,,,,Section=libs; Version=1:7.10.1+dfsg-1,,,,,,,
libcurl3t64-gnutls,libcurl3t64-gnutls,libcurl3t64-gnutls,easy-to-use client-side URL transfer library (GnuTLS flavour),,,1,1,,,,Section=libs; Version=8.14.1-2,,,,,,,
libcxsparse4,libcxsparse4,libcxsparse4,concise sparse matrix library,,,1,1,,,,Section=libs; Version=1:7.10.1+dfsg-1,,,,,,,
libfftw3-double3,libfftw3-double3,libfftw3-double3,Library for computing Fast Fourier Transforms - Double precision,,,1,1,,,,Section=libs; Version=3.3.10-2+b1,,,,,,,
libfftw3-single3,libfftw3-single3,libfftw3-single3,Library for computing Fast Fourier Transforms - Single precision,,,1,1,,,,Section=libs; Version=3.3.10-2+b1,,,,,,,
libfltk-gl1.3t64,libfltk-gl1.3t64,libfltk-gl1.3t64,Fast Light Toolkit - OpenGL rendering support,,,1,1,,,,Section=libs; Version=1.3.11-2,,,,,,,
