id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libocct-data-exchange-7.8","libocct-data-exchange-7.8","libocct-data-exchange-7.8","Open CASCADE Technology module for CAD data format interoperability","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libocct-foundation-7.8","libocct-foundation-7.8","libocct-foundation-7.8","OCCT module underlying all other OCCT classes","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libocct-modeling-algorithms-7.8","libocct-modeling-algorithms-7.8","libocct-modeling-algorithms-7.8","Open CASCADE Technology geometrical & topological algorithms module","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libocct-modeling-data-7.8","libocct-modeling-data-7.8","libocct-modeling-data-7.8","Open CASCADE Technology 2D/3D geometric primitives data structures","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libocct-ocaf-7.8","libocct-ocaf-7.8","libocct-ocaf-7.8","Open CASCADE Technology application-specific data and functionality","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libocct-visualization-7.8","libocct-visualization-7.8","libocct-visualization-7.8","Open CASCADE Technology graphical data visualization module","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"gcc-14-base","gcc-14-base","gcc-14-base","GCC, the GNU Compiler Collection (base package)","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libtbb12","libtbb12","libtbb12","parallelism library for C++ - runtime files","","","1","1","","","","Section=libs; Version=2022.1.0-1","","","","","",""
"libfontconfig1","libfontconfig1","libfontconfig1","generic font configuration library - runtime","","","1","1","","","","Section=libs; Version=2.15.0-2.3","","","","","",""
"libfreeimage3","libfreeimage3","libfreeimage3","Support library for graphics image formats (library)","","","1","1","","","","Section=libs; Version=3.18.0+ds2-11","","","","","",""
"libfreetype6","libfreetype6","libfreetype6","FreeType 2 font engine, shared library files","","","1","1","","","","Section=libs; Version=2.13.3+dfsg-1","","","","","",""
"libgl1","libgl1","libgl1","Vendor neutral GL dispatch library -- legacy GL support","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","",""
"libocct-draw-7.8","libocct-draw-7.8","libocct-draw-7.8","Open CASCADE Technology command interpreter & graphical test library","","","1","1","","","","Section=libs; Version=7.8.1+dfsg1-3","","","","","",""
"libx11-6","libx11-6","libx11-6","X11 client-side library","","","1","1","","","","Section=libs; Version=2:1.8.12-1","","","","","",""
"occt-misc","occt-misc","occt-misc","OCCT CAE platform shared library miscellaneous files","","","1","1","","","","Section=utils; Version=7.8.1+dfsg1-3","","","","","",""
"","","","","","","","","","","","","libocct-data-exchange-7.8","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libocct-data-exchange-7.8","libgcc-s1","Depends","#333","1","Depends","{}"
