id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libopencv-calib3d-dev","libopencv-calib3d-dev","libopencv-calib3d-dev","development files for libopencv-calib3d410","","","1","1","","","","Section=libdevel; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-calib3d410","libopencv-calib3d410","libopencv-calib3d410","computer vision Camera Calibration library","","","1","1","","","","Section=libs; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-features2d-dev","libopencv-features2d-dev","libopencv-features2d-dev","development files for libopencv-features2d410","","","1","1","","","","Section=libdevel; Version=4.10.0+dfsg-5","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libopencv-core410","libopencv-core410","libopencv-core410","computer vision core library","","","1","1","","","","Section=libs; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-features2d410","libopencv-features2d410","libopencv-features2d410","computer vision Feature Detection and Descriptor Extraction library","","","1","1","","","","Section=libs; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-flann410","libopencv-flann410","libopencv-flann410","computer vision Clustering and Search in Multi-Dimensional spaces library","","","1","1","","","","Section=libs; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-imgproc410","libopencv-imgproc410","libopencv-imgproc410","computer vision Image Processing library","","","1","1","","","","Section=libs; Version=4.10.0+dfsg-5","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libopencv-flann-dev","libopencv-flann-dev","libopencv-flann-dev","development files for libopencv-flann410","","","1","1","","","","Section=libdevel; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-highgui-dev","libopencv-highgui-dev","libopencv-highgui-dev","development files for libopencv-highgui410","","","1","1","","","","Section=libdevel; Version=4.10.0+dfsg-5","","","","","","","",""
"libopencv-ml-dev","libopencv-ml-dev","libopencv-ml-dev","development files for libopencv-ml410","","","1","1","","","","Section=libdevel; Version=4.10.0+dfsg-5","","","","","","","",""
"","","","","","","","","","","","","libopencv-calib3d-dev","libopencv-calib3d410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d-dev","libopencv-features2d-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libopencv-core410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libopencv-features2d410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libopencv-flann410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libopencv-imgproc410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-calib3d410","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-features2d-dev","libopencv-features2d410","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-features2d-dev","libopencv-flann-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-features2d-dev","libopencv-highgui-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libopencv-features2d-dev","libopencv-ml-dev","Depends","#333","1","Depends","arrow","{}"
