id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gir1.2-pango-1.0,gir1.2-pango-1.0,gir1.2-pango-1.0,Layout and rendering of internationalized text - gir bindings,,,1,1,,,,Section=introspection; Version=1.56.3-1,,,,,,,
gir1.2-cairo-1.0,gir1.2-cairo-1.0,gir1.2-cairo-1.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-fontconfig-2.0,gir1.2-fontconfig-2.0,gir1.2-fontconfig-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-freetype2-2.0,gir1.2-freetype2-2.0,gir1.2-freetype2-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-gio-2.0,gir1.2-gio-2.0,gir1.2-gio-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-gobject-2.0,gir1.2-gobject-2.0,gir1.2-gobject-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-harfbuzz-0.0,gir1.2-harfbuzz-0.0,gir1.2-harfbuzz-0.0,OpenType text shaping engine (GObject introspection data),,,1,1,,,,Section=introspection; Version=10.2.0-1+b1,,,,,,,
gir1.2-xft-2.0,gir1.2-xft-2.0,gir1.2-xft-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
gir1.2-xlib-2.0,gir1.2-xlib-2.0,gir1.2-xlib-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libpango-1.0-0,libpango-1.0-0,libpango-1.0-0,Layout and rendering of internationalized text,,,1,1,,,,Section=libs; Version=1.56.3-1,,,,,,,
libpangocairo-1.0-0,libpangocairo-1.0-0,libpangocairo-1.0-0,Layout and rendering of internationalized text,,,1,1,,,,Section=libs; Version=1.56.3-1,,,,,,,
libpangoft2-1.0-0,libpangoft2-1.0-0,libpangoft2-1.0-0,Layout and rendering of internationalized text,,,1,1,,,,Section=libs; Version=1.56.3-1,,,,,,,
libpangoxft-1.0-0,libpangoxft-1.0-0,libpangoxft-1.0-0,Layout and rendering of internationalized text,,,1,1,,,,Section=libs; Version=1.56.3-1,,,,,,,
libharfbuzz-gobject0,libharfbuzz-gobject0,libharfbuzz-gobject0,OpenType text shaping engine ICU backend (GObject library),,,1,1,,,,Section=libs; Version=10.2.0-1+b1,,,,,,,
libharfbuzz0b,libharfbuzz0b,libharfbuzz0b,OpenType text shaping engine (shared library),,,1,1,,,,Section=libs; Version=10.2.0-1+b1,,,,,,,
fontconfig,fontconfig,fontconfig,generic font configuration library - support binaries,,,1,1,,,,Section=fonts; Version=2.15.0-2.3,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfribidi0,libfribidi0,libfribidi0,Free Implementation of the Unicode BiDi algorithm,,,1,1,,,,Section=libs; Version=1.0.16-1,,,,,,,
