id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
gir1.2-polkit-1.0,gir1.2-polkit-1.0,gir1.2-polkit-1.0,GObject introspection data for polkit,,,1,1,,,,Section=introspection; Version=126-2,,,,,,,
gir1.2-gio-2.0,gir1.2-gio-2.0,gir1.2-gio-2.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libpolkit-agent-1-0,libpolkit-agent-1-0,libpolkit-agent-1-0,polkit Authentication Agent API,,,1,1,,,,Section=libs; Version=126-2,,,,,,,
libpolkit-gobject-1-0,libpolkit-gobject-1-0,libpolkit-gobject-1-0,polkit Authorization API,,,1,1,,,,Section=libs; Version=126-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
,,,,,,,,,,,,gir1.2-gio-2.0,gir1.2-polkit-1.0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpolkit-agent-1-0,gir1.2-polkit-1.0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpolkit-gobject-1-0,gir1.2-polkit-1.0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpolkit-agent-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libpolkit-agent-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpolkit-gobject-1-0,libpolkit-agent-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpolkit-gobject-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libpolkit-gobject-1-0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsystemd0,libpolkit-gobject-1-0,Depends,#333,1,Depends,{}
