id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libpyside2-dev,libpyside2-dev,libpyside2-dev,Python bindings for Qt5 (development files),,,1,1,,,,Section=libdevel; Version=5.15.16-3.1,,,,,,,
libpyside2-py3-5.15t64,libpyside2-py3-5.15t64,libpyside2-py3-5.15t64,Python 3 bindings for Qt5 (base files),,,1,1,,,,Section=libs; Version=5.15.16-3.1,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libqt5core5t64,libqt5core5t64,libqt5core5t64,Qt 5 core module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-6,,,,,,,
libqt5qml5,libqt5qml5,libqt5qml5,Qt 5 QML module,,,1,1,,,,Section=libs; Version=5.15.15+dfsg-3,,,,,,,
libshiboken2-py3-5.15t64,libshiboken2-py3-5.15t64,libshiboken2-py3-5.15t64,CPython bindings generator for C++ libraries (Python3 shared library),,,1,1,,,,Section=libs; Version=5.15.16-3.1,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
qtbase-abi-5-15-15,qtbase-abi-5-15-15,qtbase-abi-5-15-15,unknown,,,1,1,,,,missing in Packages file,,,,,,,
qtdeclarative-abi-5-15-15,qtdeclarative-abi-5-15-15,qtdeclarative-abi-5-15-15,unknown,,,1,1,,,,missing in Packages file,,,,,,,
,,,,,,,,,,,,libpyside2-py3-5.15t64,libpyside2-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5core5t64,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libqt5qml5,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libshiboken2-py3-5.15t64,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qtbase-abi-5-15-15,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,qtdeclarative-abi-5-15-15,libpyside2-py3-5.15t64,Depends,#333,1,Depends,{}
