id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
python3-debian,python3-debian,python3-debian,Python 3 modules to work with Debian-related data formats,,,1,1,,,,Section=python; Version=1.0.1,,,,,,,
python3-charset-normalizer,python3-charset-normalizer,python3-charset-normalizer,"charset, encoding and language detection (Python 3)",,,1,1,,,,Section=python; Version=3.4.2-1,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3,python3,python3,interactive high-level object-oriented language (default python3 version),,,1,1,,,,Section=python; Version=3.13.5-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
,,,,,,,,,,,,python3-charset-normalizer,python3-debian,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-debian,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3,python3-charset-normalizer,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3,python3-charset-normalizer,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-charset-normalizer,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,python3-charset-normalizer,Depends,#333,1,Depends,{}
