id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"idle","idle","idle","IDE for Python using Tkinter (default version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","",""
"python3-tk","python3-tk","python3-tk","Tkinter - Writing Tk applications with Python 3.x","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","",""
"idle-python3.13","idle-python3.13","idle-python3.13","IDE for Python (v3.13) using Tkinter","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","",""
"python3.13","python3.13","python3.13","Interactive high-level object-oriented language (version 3.13)","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","",""
"libpython3-stdlib","libpython3-stdlib","libpython3-stdlib","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","",""
"python3.13-tk","python3.13-tk","python3.13-tk","Tkinter - Writing Tk applications with Python (v3.13)","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","",""
"blt","blt","blt","graphics extension library for Tcl/Tk - run-time","","","1","1","","","","Section=libs; Version=2.5.3+dfsg-8","","","","","",""
"libjs-mathjax","libjs-mathjax","libjs-mathjax","JavaScript display engine for LaTeX and MathML","","","1","1","","","","Section=javascript; Version=2.7.9+dfsg-1","","","","","",""
"","","","","","","","","","","","","idle","python3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle","python3-tk","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle","idle-python3.13","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3","python3.13","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3","libpython3-stdlib","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3-tk","python3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3-tk","python3","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3-tk","python3.13-tk","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","python3-tk","blt","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle-python3.13","python3.13","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle-python3.13","python3-tk","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle-python3.13","python3.13-tk","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","idle-python3.13","libjs-mathjax","Depends","#333","1","Depends","{}"
