id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"python3-gdbm","python3-gdbm","python3-gdbm","GNU dbm database support for Python 3.x","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"python3","python3","python3","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"python3.13-gdbm","python3.13-gdbm","python3.13-gdbm","GNU dbm database support for Python (v3.13)","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","","","",""
"python3.13","python3.13","python3.13","Interactive high-level object-oriented language (version 3.13)","","","1","1","","","","Section=python; Version=3.13.5-2","","","","","","","",""
"libpython3-stdlib","libpython3-stdlib","libpython3-stdlib","interactive high-level object-oriented language (default python3 version)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libgdbm6t64","libgdbm6t64","libgdbm6t64","GNU dbm database routines (runtime version)","","","1","1","","","","Section=libs; Version=1.24-2","","","","","","","",""
"","","","","","","","","","","","","python3-gdbm","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-gdbm","python3","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3-gdbm","python3.13-gdbm","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3","python3.13","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3","libpython3-stdlib","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3.13-gdbm","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","python3.13-gdbm","libgdbm6t64","Depends","#333","1","Depends","arrow","{}"
