id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
r-bioc-s4vectors,r-bioc-s4vectors,r-bioc-s4vectors,BioConductor S4 implementation of vectors and lists,,,1,1,,,,Section=gnu-r; Version=0.44.0+dfsg-2,,,,,,,
r-api-4.0,r-api-4.0,r-api-4.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
r-api-bioc-3.20,r-api-bioc-3.20,r-api-bioc-3.20,unknown,,,1,1,,,,missing in Packages file,,,,,,,
r-bioc-biocgenerics,r-bioc-biocgenerics,r-bioc-biocgenerics,generic functions for Bioconductor,,,1,1,,,,Section=gnu-r; Version=0.52.0-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
,,,,,,,,,,,,r-api-4.0,r-bioc-s4vectors,Depends,#333,1,Depends,{}
,,,,,,,,,,,,r-api-bioc-3.20,r-bioc-s4vectors,Depends,#333,1,Depends,{}
,,,,,,,,,,,,r-bioc-biocgenerics,r-bioc-s4vectors,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,r-bioc-s4vectors,Depends,#333,1,Depends,{}
,,,,,,,,,,,,r-api-4.0,r-bioc-biocgenerics,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
