id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
r-cran-data.table,r-cran-data.table,r-cran-data.table,GNU R extension of Data.frame,,,1,1,,,,Section=gnu-r; Version=1.17.0+dfsg-1,,,,,,,
r-api-4.0,r-api-4.0,r-api-4.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgomp1,libgomp1,libgomp1,GCC OpenMP (GOMP) support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
r-cran-bit64,r-cran-bit64,r-cran-bit64,A S3 Class for Vectors of 64bit Integers,,,1,1,,,,Section=gnu-r; Version=4.6.0-1-4,,,,,,,
r-cran-bit,r-cran-bit,r-cran-bit,GNU R class for vectors of 1-bit booleans,,,1,1,,,,Section=gnu-r; Version=4.6.0+dfsg-1,,,,,,,
r-cran-r.utils,r-cran-r.utils,r-cran-r.utils,GNU R various programming utilities,,,1,1,,,,Section=gnu-r; Version=2.13.0-1,,,,,,,
r-cran-xts,r-cran-xts,r-cran-xts,GNU R package for time series analysis -- xts,,,1,1,,,,Section=gnu-r; Version=0.14.1-1,,,,,,,
r-cran-zoo,r-cran-zoo,r-cran-zoo,GNU R package for totally ordered indexed observations,,,1,1,,,,Section=gnu-r; Version=1.8-14-1,,,,,,,
r-cran-yaml,r-cran-yaml,r-cran-yaml,Methods to convert R data to YAML and back,,,1,1,,,,Section=gnu-r; Version=2.3.10-1,,,,,,,
r-cran-knitr,r-cran-knitr,r-cran-knitr,GNU R package for dynamic report generation using Literate Programming,,,1,1,,,,Section=gnu-r; Version=1.50+dfsg-1,,,,,,,
r-cran-markdown,r-cran-markdown,r-cran-markdown,GNU R package providing R bindings to the Sundown Markdown rendering library,,,1,1,,,,Section=gnu-r; Version=1.13-1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
r-cran-testthat,r-cran-testthat,r-cran-testthat,GNU R testsuite,,,1,1,,,,Section=gnu-r; Version=3.2.3-1,,,,,,,
r-cran-withr,r-cran-withr,r-cran-withr,GNU R package to run code 'With' temporarily modified global state,,,1,1,,,,Section=gnu-r; Version=3.0.2+dfsg-1,,,,,,,
r-cran-roxygen2,r-cran-roxygen2,r-cran-roxygen2,in-line documentation for GNU R,,,1,1,,,,Section=gnu-r; Version=7.3.2-1,,,,,,,
r-cran-rmarkdown,r-cran-rmarkdown,r-cran-rmarkdown,convert R markdown documents into a variety of formats,,,1,1,,,,Section=gnu-r; Version=2.29+dfsg-1,,,,,,,
r-cran-ff,r-cran-ff,r-cran-ff,Memory-Efficient Fast-Access Storage of Large Data,,,1,1,,,,Section=gnu-r; Version=4.5.2+ds-1,,,,,,,
r-cran-microbenchmark,r-cran-microbenchmark,r-cran-microbenchmark,GNU R package for Accurate Timeing Functions,,,1,1,,,,Section=gnu-r; Version=1.5.0-1,,,,,,,
r-cran-r.oo,r-cran-r.oo,r-cran-r.oo,GNU R object-oriented programming with or without references,,,1,1,,,,Section=gnu-r; Version=1.27.0-1,,,,,,,
r-cran-r.methodss3,r-cran-r.methodss3,r-cran-r.methodss3,GNU R utility function for defining S3 methods,,,1,1,,,,Section=gnu-r; Version=1.8.2-1,,,,,,,
r-cran-digest,r-cran-digest,r-cran-digest,GNU R package for 'hash digest' of R data structures,,,1,1,,,,Section=gnu-r; Version=0.6.37-1,,,,,,,
r-cran-timeseries,r-cran-timeseries,r-cran-timeseries,GNU R package for financial engineering -- timeSeries,,,1,1,,,,Section=gnu-r; Version=4041.111-1,,,,,,,
r-cran-timedate,r-cran-timedate,r-cran-timedate,GNU R package for financial engineering -- timeDate,,,1,1,,,,Section=gnu-r; Version=4041.110-1,,,,,,,
r-cran-tseries,r-cran-tseries,r-cran-tseries,GNU R package for time-series analysis and comp. finance,,,1,1,,,,Section=gnu-r; Version=0.10-58-1,,,,,,,
