id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
r-cran-dplyr,r-cran-dplyr,r-cran-dplyr,GNU R grammar of data manipulation,,,1,1,,,,Section=gnu-r; Version=1.1.4-4,,,,,,,
r-api-4.0,r-api-4.0,r-api-4.0,unknown,,,1,1,,,,missing in Packages file,,,,,,,
r-cran-cli,r-cran-cli,r-cran-cli,GNU R helpers for developing command line interfaces,,,1,1,,,,Section=gnu-r; Version=3.6.4-1,,,,,,,
r-cran-generics,r-cran-generics,r-cran-generics,GNU R common S3 generics not provided by base R methods,,,1,1,,,,Section=gnu-r; Version=0.1.3-1,,,,,,,
r-cran-glue,r-cran-glue,r-cran-glue,GNU R interpreted string literals,,,1,1,,,,Section=gnu-r; Version=1.8.0-1,,,,,,,
r-cran-lifecycle,r-cran-lifecycle,r-cran-lifecycle,manage the life cycle of your GNU R package functions,,,1,1,,,,Section=gnu-r; Version=1.0.4+dfsg-1,,,,,,,
r-cran-magrittr,r-cran-magrittr,r-cran-magrittr,GNU R forward-pipe operator,,,1,1,,,,Section=gnu-r; Version=2.0.3-1,,,,,,,
r-cran-pillar,r-cran-pillar,r-cran-pillar,GNU R coloured formatting for columns,,,1,1,,,,Section=gnu-r; Version=1.10.1+dfsg-1,,,,,,,
r-cran-r6,r-cran-r6,r-cran-r6,R classes with reference semantics,,,1,1,,,,Section=gnu-r; Version=2.6.1-1,,,,,,,
r-cran-rlang,r-cran-rlang,r-cran-rlang,Functions for Base Types and Core R and 'Tidyverse' Features,,,1,1,,,,Section=gnu-r; Version=1.1.5-3,,,,,,,
r-cran-tibble,r-cran-tibble,r-cran-tibble,GNU R Simple Data Frames,,,1,1,,,,Section=gnu-r; Version=3.2.1+dfsg-3,,,,,,,
r-cran-tidyselect,r-cran-tidyselect,r-cran-tidyselect,GNU R select from a set of strings,,,1,1,,,,Section=gnu-r; Version=1.2.1+dfsg-1,,,,,,,
r-cran-vctrs,r-cran-vctrs,r-cran-vctrs,GNU R vector helpers,,,1,1,,,,Section=gnu-r; Version=0.6.5-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
r-cran-bench,r-cran-bench,r-cran-bench,High Precision Timing of R Expressions,,,1,1,,,,Section=gnu-r; Version=1.1.4-1,,,,,,,
r-cran-broom,r-cran-broom,r-cran-broom,convert statistical analysis objects into tidy data frames with GNU R,,,1,1,,,,Section=gnu-r; Version=1.0.7+dfsg-1,,,,,,,
r-cran-callr,r-cran-callr,r-cran-callr,Call GNU R from GNU R,,,1,1,,,,Section=gnu-r; Version=3.7.6-1,,,,,,,
r-cran-covr,r-cran-covr,r-cran-covr,test coverage for GNU R packages,,,1,1,,,,Section=gnu-r; Version=3.6.4+dfsg-1,,,,,,,
r-cran-dbi,r-cran-dbi,r-cran-dbi,GNU R package providing a generic database interface,,,1,1,,,,Section=gnu-r; Version=1.2.3-1,,,,,,,
r-cran-dbplyr,r-cran-dbplyr,r-cran-dbplyr,GNU R dplyr back end for databases,,,1,1,,,,Section=gnu-r; Version=2.5.0+dfsg-1,,,,,,,
r-cran-ggplot2,r-cran-ggplot2,r-cran-ggplot2,implementation of the Grammar of Graphics,,,1,1,,,,Section=gnu-r; Version=3.5.1+dfsg-1,,,,,,,
r-cran-knitr,r-cran-knitr,r-cran-knitr,GNU R package for dynamic report generation using Literate Programming,,,1,1,,,,Section=gnu-r; Version=1.50+dfsg-1,,,,,,,
r-cran-lobstr,r-cran-lobstr,r-cran-lobstr,visualize R data structures with trees,,,1,1,,,,Section=gnu-r; Version=1.1.2-1,,,,,,,
r-cran-microbenchmark,r-cran-microbenchmark,r-cran-microbenchmark,GNU R package for Accurate Timeing Functions,,,1,1,,,,Section=gnu-r; Version=1.5.0-1,,,,,,,
r-cran-purrr,r-cran-purrr,r-cran-purrr,GNU R functional programming tools,,,1,1,,,,Section=gnu-r; Version=1.0.4-1,,,,,,,
r-cran-rmarkdown,r-cran-rmarkdown,r-cran-rmarkdown,convert R markdown documents into a variety of formats,,,1,1,,,,Section=gnu-r; Version=2.29+dfsg-1,,,,,,,
r-cran-rmysql,r-cran-rmysql,r-cran-rmysql,GNU R package providing a DBI-compliant interface to MySQL,,,1,1,,,,Section=gnu-r; Version=0.11.1-1,,,,,,,
r-cran-rpostgresql,r-cran-rpostgresql,r-cran-rpostgresql,GNU R package providing database interface and driver for PostgreSQL,,,1,1,,,,Section=gnu-r; Version=0.7-7+dfsg-1,,,,,,,
r-cran-rsqlite,r-cran-rsqlite,r-cran-rsqlite,Database Interface R driver for SQLite,,,1,1,,,,Section=gnu-r; Version=2.3.9-1,,,,,,,
r-cran-stringi,r-cran-stringi,r-cran-stringi,GNU R character string processing facilities,,,1,1,,,,Section=gnu-r; Version=1.8.4-1+b1,,,,,,,
r-cran-testthat,r-cran-testthat,r-cran-testthat,GNU R testsuite,,,1,1,,,,Section=gnu-r; Version=3.2.3-1,,,,,,,
r-cran-tidyr,r-cran-tidyr,r-cran-tidyr,GNU R package to easily tidy data,,,1,1,,,,Section=gnu-r; Version=1.3.1-1,,,,,,,
r-cran-withr,r-cran-withr,r-cran-withr,GNU R package to run code 'With' temporarily modified global state,,,1,1,,,,Section=gnu-r; Version=3.0.2+dfsg-1,,,,,,,
r-cran-crayon,r-cran-crayon,r-cran-crayon,GNU R colored terminal output,,,1,1,,,,Section=gnu-r; Version=1.5.3-1,,,,,,,
r-cran-digest,r-cran-digest,r-cran-digest,GNU R package for 'hash digest' of R data structures,,,1,1,,,,Section=gnu-r; Version=0.6.37-1,,,,,,,
r-cran-htmltools,r-cran-htmltools,r-cran-htmltools,GNU R tools for HTML,,,1,1,,,,Section=gnu-r; Version=0.5.8.1-1,,,,,,,
r-cran-htmlwidgets,r-cran-htmlwidgets,r-cran-htmlwidgets,GNU R HTML Widgets,,,1,1,,,,Section=gnu-r; Version=1.6.4+dfsg-1,,,,,,,
r-cran-processx,r-cran-processx,r-cran-processx,GNU R execute and control system processes,,,1,1,,,,Section=gnu-r; Version=3.8.6-1,,,,,,,
r-cran-ps,r-cran-ps,r-cran-ps,"GNU R list, query, manipulate system processes",,,1,1,,,,Section=gnu-r; Version=1.9.0-1,,,,,,,
r-cran-rprojroot,r-cran-rprojroot,r-cran-rprojroot,GNU R finding files in project subdirectories,,,1,1,,,,Section=gnu-r; Version=2.0.4-2,,,,,,,
r-cran-rstudioapi,r-cran-rstudioapi,r-cran-rstudioapi,GNU R package for access to the RStudio API,,,1,1,,,,Section=gnu-r; Version=0.17.1-1,,,,,,,
r-cran-whoami,r-cran-whoami,r-cran-whoami,"username, full name, email address in GNU R",,,1,1,,,,Section=gnu-r; Version=1.3.0-2,,,,,,,
r-base-core,r-base-core,r-base-core,GNU R core of statistical computation and graphics system,,,1,1,,,,Section=gnu-r; Version=4.5.0-3,,,,,,,
r-cran-pkgload,r-cran-pkgload,r-cran-pkgload,simulate GNU R package installation and attach,,,1,1,,,,Section=gnu-r; Version=1.4.0-1,,,,,,,
r-cran-waldo,r-cran-waldo,r-cran-waldo,find differences between R objects,,,1,1,,,,Section=gnu-r; Version=0.6.1-2,,,,,,,
r-cran-lintr,r-cran-lintr,r-cran-lintr,Linter for R Code,,,1,1,,,,Section=gnu-r; Version=3.2.0-1,,,,,,,
r-cran-tidyverse,r-cran-tidyverse,r-cran-tidyverse,Easily Install and Load the 'Tidyverse',,,1,1,,,,Section=gnu-r; Version=2.0.0+dfsg-2,,,,,,,
r-cran-utf8,r-cran-utf8,r-cran-utf8,GNU R unicode text processing,,,1,1,,,,Section=gnu-r; Version=1.2.4-1,,,,,,,
r-cran-bit64,r-cran-bit64,r-cran-bit64,A S3 Class for Vectors of 64bit Integers,,,1,1,,,,Section=gnu-r; Version=4.6.0-1-4,,,,,,,
r-cran-diagrammer,r-cran-diagrammer,r-cran-diagrammer,Graph/Network Visualization,,,1,1,,,,Section=gnu-r; Version=1.0.11+ds-2,,,,,,,
r-cran-formattable,r-cran-formattable,r-cran-formattable,GNU R create 'formattable' data structures,,,1,1,,,,Section=gnu-r; Version=0.2.1+dfsg-1,,,,,,,
r-cran-lubridate,r-cran-lubridate,r-cran-lubridate,simplifies dealing with dates in R,,,1,1,,,,Section=gnu-r; Version=1.9.4+dfsg-1,,,,,,,
r-cran-nanotime,r-cran-nanotime,r-cran-nanotime,GNU R package for nanosecond-resolution time support,,,1,1,,,,Section=gnu-r; Version=0.3.12-1,,,,,,,
r-cran-palmerpenguins,r-cran-palmerpenguins,r-cran-palmerpenguins,GNU R Palmer Archipelago (Antarctica) penguin data,,,1,1,,,,Section=gnu-r; Version=0.1.1-1,,,,,,,
r-cran-scales,r-cran-scales,r-cran-scales,Scale functions for visualization,,,1,1,,,,Section=gnu-r; Version=1.3.0-1,,,,,,,
r-cran-survival,r-cran-survival,r-cran-survival,GNU R package for survival analysis,,,1,1,,,,Section=gnu-r; Version=3.8-3-1,,,,,,,
r-cran-units,r-cran-units,r-cran-units,Measurement Units for R Vectors,,,1,1,,,,Section=gnu-r; Version=0.8-7+dfsg-2,,,,,,,
r-cran-vdiffr,r-cran-vdiffr,r-cran-vdiffr,GNU R visual regression testing and graphical diffing,,,1,1,,,,Section=gnu-r; Version=1.0.8-1,,,,,,,
r-cran-fs,r-cran-fs,r-cran-fs,GNU R cross-platform file system operations,,,1,1,,,,Section=gnu-r; Version=1.6.5+dfsg-1,,,,,,,
r-cran-usethis,r-cran-usethis,r-cran-usethis,Automate Package and Project Setup,,,1,1,,,,Section=gnu-r; Version=3.1.0-1,,,,,,,
r-cran-fansi,r-cran-fansi,r-cran-fansi,GNU R ANSI control sequence aware string functions,,,1,1,,,,Section=gnu-r; Version=1.0.6-2,,,,,,,
r-cran-pkgconfig,r-cran-pkgconfig,r-cran-pkgconfig,Private Configuration for 'R' Packages,,,1,1,,,,Section=gnu-r; Version=2.0.3-2,,,,,,,
r-cran-blob,r-cran-blob,r-cran-blob,GNU R S3 Class for Representing Vectors of Binary Data ('BLOBS'),,,1,1,,,,Section=gnu-r; Version=1.2.4-1,,,,,,,
r-cran-brio,r-cran-brio,r-cran-brio,basic R input output,,,1,1,,,,Section=gnu-r; Version=1.1.5-1,,,,,,,
r-cran-evaluate,r-cran-evaluate,r-cran-evaluate,GNU R parsing and evaluation tools,,,1,1,,,,Section=gnu-r; Version=1.0.3-1,,,,,,,
r-cran-here,r-cran-here,r-cran-here,GNU R simpler way to find files,,,1,1,,,,Section=gnu-r; Version=1.0.1-2,,,,,,,
r-cran-hms,r-cran-hms,r-cran-hms,GNU R pretty time of day,,,1,1,,,,Section=gnu-r; Version=1.1.3-1,,,,,,,
r-cran-pkgbuild,r-cran-pkgbuild,r-cran-pkgbuild,find tools needed to build GNU R packages,,,1,1,,,,Section=gnu-r; Version=1.4.6-1,,,,,,,
r-cran-stringr,r-cran-stringr,r-cran-stringr,Make it easier to work with strings,,,1,1,,,,Section=gnu-r; Version=1.5.1-1,,,,,,,
r-cran-pkgdown,r-cran-pkgdown,r-cran-pkgdown,make static HTML documentation for a GNU R package,,,1,1,,,,Section=gnu-r; Version=2.1.1-2,,,,,,,
r-cran-xml2,r-cran-xml2,r-cran-xml2,GNU R XML parser,,,1,1,,,,Section=gnu-r; Version=1.3.8-1,,,,,,,
r-cran-zeallot,r-cran-zeallot,r-cran-zeallot,"GNU R multiple, unpacking, and destructuring assignment",,,1,1,,,,Section=gnu-r; Version=0.1.0-3,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
r-cran-profmem,r-cran-profmem,r-cran-profmem,Simple Memory Profiling for R,,,1,1,,,,Section=gnu-r; Version=0.6.0+dfsg-1,,,,,,,
r-cran-forcats,r-cran-forcats,r-cran-forcats,GNU R package for working with categorical variables (factors),,,1,1,,,,Section=gnu-r; Version=1.0.0-1,,,,,,,
r-cran-ggbeeswarm,r-cran-ggbeeswarm,r-cran-ggbeeswarm,GNU R categorical scatter (violin point) plots,,,1,1,,,,Section=gnu-r; Version=0.7.2-1,,,,,,,
r-cran-ggridges,r-cran-ggridges,r-cran-ggridges,Ridgeline Plots in 'ggplot2',,,1,1,,,,Section=gnu-r; Version=0.5.6-1,,,,,,,
r-cran-backports,r-cran-backports,r-cran-backports,reimplementation of functions introduced since R-3.0.0,,,1,1,,,,Section=gnu-r; Version=1.5.0-2,,,,,,,
r-cran-aer,r-cran-aer,r-cran-aer,Applied Econometrics with R,,,1,1,,,,Section=gnu-r; Version=1.2-14-1,,,,,,,
r-cran-bbmle,r-cran-bbmle,r-cran-bbmle,GNU R tools for general maximum likelihood estimation,,,1,1,,,,Section=gnu-r; Version=1.0.25.1-1,,,,,,,
r-cran-boot,r-cran-boot,r-cran-boot,GNU R package for bootstrapping functions from Davison and Hinkley,,,1,1,,,,Section=gnu-r; Version=1.3-31-1,,,,,,,
r-cran-car,r-cran-car,r-cran-car,GNU R Companion to Applied Regression by John Fox,,,1,1,,,,Section=gnu-r; Version=3.1-3-1,,,,,,,
r-cran-cardata,r-cran-cardata,r-cran-cardata,GNU R package for datasets for Companion to Applied Regression,,,1,1,,,,Section=gnu-r; Version=3.0.5-1,,,,,,,
r-cran-caret,r-cran-caret,r-cran-caret,GNU R package for classification and regression training,,,1,1,,,,Section=gnu-r; Version=7.0-1+dfsg-1,,,,,,,
r-cran-cluster,r-cran-cluster,r-cran-cluster,GNU R package for cluster analysis by Rousseeuw et al,,,1,1,,,,Section=gnu-r; Version=2.1.8.1-1,,,,,,,
r-cran-cmprsk,r-cran-cmprsk,r-cran-cmprsk,GNU R subdistribution analysis of competing risks,,,1,1,,,,Section=gnu-r; Version=2.2-12-1,,,,,,,
r-cran-coda,r-cran-coda,r-cran-coda,Output analysis and diagnostics for MCMC simulations in R,,,1,1,,,,Section=gnu-r; Version=0.19-4.1-1,,,,,,,
r-cran-e1071,r-cran-e1071,r-cran-e1071,GNU R package with miscellaneous functions of the Dept of Statisics (e1071),,,1,1,,,,Section=gnu-r; Version=1.7-16-1,,,,,,,
r-cran-emmeans,r-cran-emmeans,r-cran-emmeans,"GNU R estimated marginal means, aka least-squares means",,,1,1,,,,Section=gnu-r; Version=1.10.7+dfsg-1,,,,,,,
r-cran-epir,r-cran-epir,r-cran-epir,GNU R Functions for analysing epidemiological data,,,1,1,,,,Section=gnu-r; Version=2.0.80+dfsg-1,,,,,,,
r-cran-gam,r-cran-gam,r-cran-gam,Generalized Additive Models for R,,,1,1,,,,Section=gnu-r; Version=1.22-5-1,,,,,,,
r-cran-gee,r-cran-gee,r-cran-gee,Generalized Estimation Equation Solver,,,1,1,,,,Section=gnu-r; Version=4.13-29-1,,,,,,,
r-cran-geepack,r-cran-geepack,r-cran-geepack,Generalized Estimating Equation Package for R,,,1,1,,,,Section=gnu-r; Version=1.3.12-1,,,,,,,
r-cran-glmnet,r-cran-glmnet,r-cran-glmnet,Lasso and Elastic-Net Regularized Generalized Linear Models,,,1,1,,,,Section=gnu-r; Version=4.1-8-1,,,,,,,
r-cran-gmm,r-cran-gmm,r-cran-gmm,GNU R generalized method of moments and generalized empirical likelihood,,,1,1,,,,Section=gnu-r; Version=1.8-1,,,,,,,
r-cran-hmisc,r-cran-hmisc,r-cran-hmisc,GNU R miscellaneous functions by Frank Harrell,,,1,1,,,,Section=gnu-r; Version=5.2-3-1,,,,,,,
r-cran-irlba,r-cran-irlba,r-cran-irlba,"GNU R fast truncated SVD, PCA and symmetric eigendecomposition",,,1,1,,,,Section=gnu-r; Version=2.3.5.1-4,,,,,,,
r-cran-interp,r-cran-interp,r-cran-interp,GNU R interpolation methods,,,1,1,,,,Section=gnu-r; Version=1.1-6-1,,,,,,,
r-cran-ks,r-cran-ks,r-cran-ks,GNU R kernel smoothing,,,1,1,,,,Section=gnu-r; Version=1.14.3-1,,,,,,,
r-cran-lavaan,r-cran-lavaan,r-cran-lavaan,GNU R package for latent variable analysis -- lavaan,,,1,1,,,,Section=gnu-r; Version=0.6.19-1,,,,,,,
r-cran-leaps,r-cran-leaps,r-cran-leaps,Regression Subset Selection,,,1,1,,,,Section=gnu-r; Version=3.2-1,,,,,,,
r-cran-lme4,r-cran-lme4,r-cran-lme4,GNU R package for linear mixed effects model fitting,,,1,1,,,,Section=gnu-r; Version=1.1-37-1,,,,,,,
r-cran-lmtest,r-cran-lmtest,r-cran-lmtest,GNU R package for diagnostic checking in linear models,,,1,1,,,,Section=gnu-r; Version=0.9.40-1,,,,,,,
r-cran-lsmeans,r-cran-lsmeans,r-cran-lsmeans,GNU R package providing least-squares means for various classes of models,,,1,1,,,,Section=gnu-r; Version=2.30-0-2,,,,,,,
r-cran-maps,r-cran-maps,r-cran-maps,GNU R support for producing geographic maps,,,1,1,,,,Section=gnu-r; Version=3.4.2.1-1,,,,,,,
r-cran-mass,r-cran-mass,r-cran-mass,GNU R package of Venables and Ripley's MASS,,,1,1,,,,Section=gnu-r; Version=7.3-65-1,,,,,,,
r-cran-mclust,r-cran-mclust,r-cran-mclust,Gaussian Mixture Modelling for Model-Based Clustering,,,1,1,,,,Section=gnu-r; Version=6.1.1-1,,,,,,,
