id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
camera-calibration-parsers-tools,camera-calibration-parsers-tools,camera-calibration-parsers-tools,Robot OS camera_calibration_parsers_tools package,,,1,1,,,,Section=libs; Version=1.12.0-14+b5,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcamera-calibration-parsers0t64,libcamera-calibration-parsers0t64,libcamera-calibration-parsers0t64,Robot OS camera_calibration_parsers package,,,1,1,,,,Section=libs; Version=1.12.0-14+b5,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
liblog4cxx15,liblog4cxx15,liblog4cxx15,Logging library for C++,,,1,1,,,,Section=libs; Version=1.4.0-1,,,,,,,
librosconsole3d,librosconsole3d,librosconsole3d,library for librosconsole,,,1,1,,,,Section=libs; Version=1.14.3-13,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libboost-filesystem1.83.0,libboost-filesystem1.83.0,libboost-filesystem1.83.0,"filesystem operations (portable paths, iteration over directories, etc) in C++",,,1,1,,,,Section=libs; Version=1.83.0-4.2,,,,,,,
libyaml-cpp0.8,libyaml-cpp0.8,libyaml-cpp0.8,YAML parser and emitter for C++,,,1,1,,,,Section=libs; Version=0.8.0+dfsg-7,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libapr1t64,libapr1t64,libapr1t64,Apache Portable Runtime Library,,,1,1,,,,Section=libs; Version=1.7.5-1,,,,,,,
libaprutil1-dbd-sqlite3,libaprutil1-dbd-sqlite3,libaprutil1-dbd-sqlite3,Apache Portable Runtime Utility Library - SQLite3 Driver,,,1,1,,,,Section=libs; Version=1.6.3-3+b1,,,,,,,
libaprutil1t64,libaprutil1t64,libaprutil1t64,Apache Portable Runtime Utility Library,,,1,1,,,,Section=libs; Version=1.6.3-3+b1,,,,,,,
librostime1d,librostime1d,librostime1d,Robot OS library for time and duration,,,1,1,,,,Section=libs; Version=0.7.3-3,,,,,,,
,,,,,,,,,,,,libc6,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcamera-calibration-parsers0t64,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblog4cxx15,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,librosconsole3d,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,camera-calibration-parsers-tools,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libboost-filesystem1.83.0,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblog4cxx15,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,librosconsole3d,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libyaml-cpp0.8,libcamera-calibration-parsers0t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-14-base,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libapr1t64,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libaprutil1-dbd-sqlite3,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libaprutil1t64,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,liblog4cxx15,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,librosconsole3d,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,librosconsole3d,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblog4cxx15,librosconsole3d,Depends,#333,1,Depends,{}
,,,,,,,,,,,,librostime1d,librosconsole3d,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,librosconsole3d,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-14-base,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libstdc++6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libstdc++6,Depends,#333,1,Depends,{}
