id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ros-base,ros-base,ros-base,Python Robot OS base metapackage,,,1,1,,,,Section=metapackages; Version=1.18,,,,,,,
ros-core,ros-core,ros-core,Robot OS core metapackage,,,1,1,,,,Section=metapackages; Version=1.18,,,,,,,
libnodeletlib-tools,libnodeletlib-tools,libnodeletlib-tools,Robot OS nodelet library - tools,,,1,1,,,,Section=libs; Version=1.11.1-1+b1,,,,,,,
python3-rosclean,python3-rosclean,python3-rosclean,cleanup Robot OS filesystem resources (e.g. logs) (Python 3),,,1,1,,,,Section=python; Version=1.15.8-7,,,,,,,
python3-rosbag,python3-rosbag,python3-rosbag,Python 3 tools for recording from and playing back to Robot OS topics,,,1,1,,,,Section=python; Version=1.17.0+ds-2+b5,,,,,,,
python3-rosgraph,python3-rosgraph,python3-rosgraph,Tool to print information about the Robot OS computation graph - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-roslaunch,python3-roslaunch,python3-roslaunch,roslaunch tool for Robot OS - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rosmaster,python3-rosmaster,python3-rosmaster,Robot OS Master implementation - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rosmsg,python3-rosmsg,python3-rosmsg,Command-line tools for displaying information about Robot OS - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rosnode,python3-rosnode,python3-rosnode,Tool for displaying debug information about Robot OS - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rosparam,python3-rosparam,python3-rosparam,Tool for getting and setting Robot OS Parameters - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rosservice,python3-rosservice,python3-rosservice,Command-line tool for listing and querying Robot OS services - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-rostopic,python3-rostopic,python3-rostopic,Tool for displaying debug information about Robot OS Topics - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-message-filters,python3-message-filters,python3-message-filters,Python 3 library for Robot OS message-filters,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
python3-roswtf,python3-roswtf,python3-roswtf,Tool for diagnosing issues with a running Robot OS system - Python 3,,,1,1,,,,Section=python; Version=1.17.0+ds-2,,,,,,,
rosout,rosout,rosout,Robot OS system-wide logging mechanism,,,1,1,,,,Section=misc; Version=1.17.0+ds-2+b5,,,,,,,
topic-tools,topic-tools,topic-tools,Tools for messing with Robot OS topics,,,1,1,,,,Section=utils; Version=1.17.0+ds-2+b5,,,,,,,
rosbash,rosbash,rosbash,Assorted shell commands for using Robot OS with bash,,,1,1,,,,Section=utils; Version=1.15.8-7,,,,,,,
python3,python3,python3,interactive high-level object-oriented language (default python3 version),,,1,1,,,,Section=python; Version=3.13.5-1,,,,,,,
libbondcpp1d,libbondcpp1d,libbondcpp1d,Robot OS bondcpp library,,,1,1,,,,Section=libs; Version=1.8.6-11,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
liblog4cxx15,liblog4cxx15,liblog4cxx15,Logging library for C++,,,1,1,,,,Section=libs; Version=1.4.0-1,,,,,,,
libnodeletlib1d,libnodeletlib1d,libnodeletlib1d,Robot OS nodelet library,,,1,1,,,,Section=libs; Version=1.11.1-1+b1,,,,,,,
librosconsole3d,librosconsole3d,librosconsole3d,library for librosconsole,,,1,1,,,,Section=libs; Version=1.14.3-13,,,,,,,
libroscpp-serialization0d,libroscpp-serialization0d,libroscpp-serialization0d,Robot OS library for roscpp serialization,,,1,1,,,,Section=libs; Version=0.7.3-3,,,,,,,
libroscpp4t64,libroscpp4t64,libroscpp4t64,Robot OS client library,,,1,1,,,,Section=libs; Version=1.17.0+ds-2+b5,,,,,,,
librostime1d,librostime1d,librostime1d,Robot OS library for time and duration,,,1,1,,,,Section=libs; Version=0.7.3-3,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libuuid1,libuuid1,libuuid1,Universally Unique ID library,,,1,1,,,,Section=libs; Version=2.41-5,,,,,,,
libxmlrpcpp3t64,libxmlrpcpp3t64,libxmlrpcpp3t64,Robot OS version of xml-rpc protocol library,,,1,1,,,,Section=libs; Version=1.17.0+ds-2+b5,,,,,,,
,,,,,,,,,,,,ros-core,ros-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnodeletlib-tools,ros-base,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosclean,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosbag,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosgraph,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-roslaunch,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosmaster,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosmsg,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosnode,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosparam,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rosservice,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-rostopic,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-message-filters,ros-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-roswtf,ros-core,Depends,#333,1,Depends,{}
