id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libsdl-image1.2","libsdl-image1.2","libsdl-image1.2","Image loading library for Simple DirectMedia Layer 1.2, libraries","","","1","1","","","","Section=libs; Version=1.2.12-14","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libjpeg62-turbo","libjpeg62-turbo","libjpeg62-turbo","libjpeg-turbo JPEG runtime library","","","1","1","","","","Section=libs; Version=1:2.1.5-4","","","","","","","",""
"libpng16-16t64","libpng16-16t64","libpng16-16t64","PNG library - runtime (version 1.6)","","","1","1","","","","Section=libs; Version=1.6.48-1","","","","","","","",""
"libsdl1.2debian","libsdl1.2debian","libsdl1.2debian","SDL 1.2 binary compatibility library wrapping SDL 2.0","","","1","1","","","","Section=libs; Version=1.2.68-3","","","","","","","",""
"libtiff6","libtiff6","libtiff6","Tag Image File Format (TIFF) library","","","1","1","","","","Section=libs; Version=4.7.0-3","","","","","","","",""
"libwebp7","libwebp7","libwebp7","Lossy compression of digital photographic images (shared library)","","","1","1","","","","Section=libs; Version=1.5.0-0.1","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","","","",""
"zlib1g","zlib1g","zlib1g","compression library - runtime","","","1","1","","","","Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"libsdl2-2.0-0","libsdl2-2.0-0","libsdl2-2.0-0","Simple DirectMedia Layer","","","1","1","","","","Section=libs; Version=2.32.4+dfsg-1","","","","","","","",""
"libdeflate0","libdeflate0","libdeflate0","fast, whole-buffer DEFLATE-based compression and decompression","","","1","1","","","","Section=libs; Version=1.23-2","","","","","","","",""
"libjbig0","libjbig0","libjbig0","JBIGkit libraries","","","1","1","","","","Section=libs; Version=2.1-6.1+b2","","","","","","","",""
"liblerc4","liblerc4","liblerc4","Limited Error Raster Compression library","","","1","1","","","","Section=libs; Version=4.0.0+ds-5","","","","","","","",""
"liblzma5","liblzma5","liblzma5","XZ-format compression library","","","1","1","","","","Section=libs; Version=5.8.1-1","","","","","","","",""
"libzstd1","libzstd1","libzstd1","fast lossless compression algorithm","","","1","1","","","","Section=libs; Version=1.5.7+dfsg-1","","","","","","","",""
"libsharpyuv0","libsharpyuv0","libsharpyuv0","Library for sharp RGB to YUV conversion","","","1","1","","","","Section=libs; Version=1.5.0-0.1","","","","","","","",""
"","","","","","","","","","","","","libsdl-image1.2","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl-image1.2","libjpeg62-turbo","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl-image1.2","libpng16-16t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl-image1.2","libsdl1.2debian","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl-image1.2","libtiff6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl-image1.2","libwebp7","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","arrow","{}"
"","","","","","","","","","","","","libjpeg62-turbo","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libpng16-16t64","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libpng16-16t64","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl1.2debian","libsdl2-2.0-0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libsdl1.2debian","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libdeflate0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libjbig0","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libjpeg62-turbo","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","liblerc4","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","liblzma5","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libwebp7","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","libzstd1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtiff6","zlib1g","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libwebp7","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libwebp7","libsharpyuv0","Depends","#333","1","Depends","arrow","{}"
