id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libsundials-arkode6,libsundials-arkode6,libsundials-arkode6,differential equation solver (SUNDIALS library),,,1,1,,,,Section=libs; Version=7.1.1+dfsg1-10,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libgfortran5,libgfortran5,libgfortran5,Runtime library for GNU Fortran applications,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libsundials-core7,libsundials-core7,libsundials-core7,differential equation solver (SUNDIALS library),,,1,1,,,,Section=libs; Version=7.1.1+dfsg1-10,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libopenmpi40,libopenmpi40,libopenmpi40,high performance message passing library -- shared library,,,1,1,,,,Section=libs; Version=5.0.7-1,,,,,,,
,,,,,,,,,,,,libc6,libsundials-arkode6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libsundials-arkode6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgfortran5,libsundials-arkode6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libsundials-core7,libsundials-arkode6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,gcc-14-base,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgcc-s1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,gcc-14-base,libgfortran5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libgfortran5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libgfortran5,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libsundials-core7,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libsundials-core7,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgfortran5,libsundials-core7,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libopenmpi40,libsundials-core7,Depends,#333,1,Depends,{}
