id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
python3-tempest,python3-tempest,python3-tempest,OpenStack Integration Test Suite - Python 3.x,,,1,1,,,,Section=python; Version=1:43.0.0-3,,,,,,,
heat-tempest-plugin,heat-tempest-plugin,heat-tempest-plugin,OpenStack Integration Test Suite - Heat plugin,,,1,1,,,,Section=net; Version=2.5.0-3,,,,,,,
python3-cliff,python3-cliff,python3-cliff,command line interface formulation framework - Python 3.x,,,1,1,,,,Section=python; Version=4.9.1-2,,,,,,,
python3-cryptography,python3-cryptography,python3-cryptography,Python library exposing cryptographic recipes and primitives,,,1,1,,,,Section=python; Version=43.0.0-3,,,,,,,
python3-ddt,python3-ddt,python3-ddt,Data-Driven/Decorated Tests - Python 3.x,,,1,1,,,,Section=python; Version=1.7.2-4,,,,,,,
python3-debtcollector,python3-debtcollector,python3-debtcollector,collection of patterns to collect technical debt - Python 3.x,,,1,1,,,,Section=python; Version=3.0.0-5,,,,,,,
python3-defusedxml,python3-defusedxml,python3-defusedxml,XML bomb protection for Python stdlib modules (for Python 3),,,1,1,,,,Section=python; Version=0.7.1-3,,,,,,,
python3-fasteners,python3-fasteners,python3-fasteners,provides useful locks - Python 3.x,,,1,1,,,,Section=python; Version=0.18-2,,,,,,,
python3-fixtures,python3-fixtures,python3-fixtures,PyUnit extension for defining test fixtures outside of test cases - Python 3.x,,,1,1,,,,Section=python; Version=4.1.0-3,,,,,,,
python3-gabbi,python3-gabbi,python3-gabbi,declarative HTTP testing library - Python 3.x,,,1,1,,,,Section=python; Version=3.0.0-3,,,,,,,
python3-jsonschema,python3-jsonschema,python3-jsonschema,An(other) implementation of JSON Schema,,,1,1,,,,Section=python; Version=4.19.2-6,,,,,,,
python3-netaddr,python3-netaddr,python3-netaddr,manipulation of various common network address notations (Python 3),,,1,1,,,,Section=python; Version=1.3.0-1,,,,,,,
python3-os-testr,python3-os-testr,python3-os-testr,Utility wrappers for testrepository for OpenStack projects - Python 3.x,,,1,1,,,,Section=python; Version=3.0.0-4,,,,,,,
python3-oslo.concurrency,python3-oslo.concurrency,python3-oslo.concurrency,oslo.concurrency library - Python 3.x,,,1,1,,,,Section=python; Version=7.1.0-3,,,,,,,
python3-oslo.config,python3-oslo.config,python3-oslo.config,Common code for Openstack Projects (configuration API) - Python 3.x,,,1,1,,,,Section=python; Version=1:9.7.1-3,,,,,,,
python3-oslo.log,python3-oslo.log,python3-oslo.log,OpenStack logging configuration library - Python 3.x,,,1,1,,,,Section=python; Version=7.1.0-4,,,,,,,
python3-oslo.serialization,python3-oslo.serialization,python3-oslo.serialization,"utilities for serialization , especially JSON - Python 3.x",,,1,1,,,,Section=python; Version=5.7.0-3,,,,,,,
python3-oslo.utils,python3-oslo.utils,python3-oslo.utils,set of utility functions for OpenStack - Python 3.x,,,1,1,,,,Section=python; Version=8.2.0-4,,,,,,,
python3-oslotest,python3-oslotest,python3-oslotest,OpenStack test framework - Python 3.x,,,1,1,,,,Section=python; Version=1:5.0.0-4,,,,,,,
python3-paramiko,python3-paramiko,python3-paramiko,Make ssh v2 connections (Python 3),,,1,1,,,,Section=python; Version=3.5.1-3,,,,,,,
python3-pbr,python3-pbr,python3-pbr,inject useful and sensible default behaviors into setuptools - Python 3.x,,,1,1,,,,Section=python; Version=6.1.1-2,,,,,,,
python3-prettytable,python3-prettytable,python3-prettytable,library to represent tabular data in visually appealing ASCII tables (Python3),,,1,1,,,,Section=python; Version=3.15.1-1,,,,,,,
python3-stevedore,python3-stevedore,python3-stevedore,manage dynamic plugins for Python applications - python3,,,1,1,,,,Section=python; Version=5.4.1-2,,,,,,,
python3-subunit,python3-subunit,python3-subunit,unit testing protocol - Python3 bindings to generate and consume streams,,,1,1,,,,Section=python; Version=1.4.2-3,,,,,,,
python3-swiftclient,python3-swiftclient,python3-swiftclient,Client library for Openstack Swift API - Python 3.x,,,1,1,,,,Section=python; Version=1:4.7.0-2,,,,,,,
python3-testscenarios,python3-testscenarios,python3-testscenarios,Dependency injection for Python unittest tests - Python 3.x,,,1,1,,,,Section=python; Version=0.5.0-5,,,,,,,
python3-testtools,python3-testtools,python3-testtools,Extensions to the Python unittest library - Python 3.x,,,1,1,,,,Section=python; Version=2.7.2-5,,,,,,,
python3-urllib3,python3-urllib3,python3-urllib3,HTTP library with thread-safe connection pooling for Python3,,,1,1,,,,Section=python; Version=2.3.0-3,,,,,,,
python3-yaml,python3-yaml,python3-yaml,YAML parser and emitter for Python3,,,1,1,,,,Section=python; Version=6.0.2-1+b2,,,,,,,
subunit,subunit,subunit,command line tools for processing Subunit streams,,,1,1,,,,Section=devel; Version=1.4.2-3,,,,,,,
testrepository,testrepository,testrepository,unit test system with database of test results - metapackage and doc,,,1,1,,,,Section=python; Version=0.0.21-3,,,,,,,
python3-stestr,python3-stestr,python3-stestr,test runner similar to testrepository - Python 3.x,,,1,1,,,,Section=python; Version=4.1.0-3,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
python3-cinderclient,python3-cinderclient,python3-cinderclient,Python bindings to the OpenStack Volume API - Python 3.x,,,1,1,,,,Section=python; Version=1:9.7.0-2,,,,,,,
python3-gnocchiclient,python3-gnocchiclient,python3-gnocchiclient,bindings to the OpenStack Gnocchi API - Python 3.x,,,1,1,,,,Section=python; Version=7.1.0-3,,,,,,,
