id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libtesseract-dev","libtesseract-dev","libtesseract-dev","Development files for the tesseract command line OCR tool","","","1","1","","","","Section=libdevel; Version=5.5.0-1+b1","","","","","","","",""
"libtesseract5","libtesseract5","libtesseract5","Tesseract OCR library","","","1","1","","","","Section=libs; Version=5.5.0-1+b1","","","","","","","",""
"libleptonica-dev","libleptonica-dev","libleptonica-dev","image processing library","","","1","1","","","","Section=libdevel; Version=1.84.1-4","","","","","","","",""
"libarchive-dev","libarchive-dev","libarchive-dev","Multi-format archive and compression library (development files)","","","1","1","","","","Section=libdevel; Version=3.7.4-4","","","","","","","",""
"libcurl4-openssl-dev","libcurl4-openssl-dev","libcurl4-openssl-dev","development files and documentation for libcurl (OpenSSL flavour)","","","1","1","","","","Section=libdevel; Version=8.14.1-2","","","","","","","",""
"libarchive13t64","libarchive13t64","libarchive13t64","Multi-format archive and compression library (shared library)","","","1","1","","","","Section=libs; Version=3.7.4-4","","","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","","","",""
"libcurl4t64","libcurl4t64","libcurl4t64","easy-to-use client-side URL transfer library (OpenSSL flavour)","","","1","1","","","","Section=libs; Version=8.14.1-2","","","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libgomp1","libgomp1","libgomp1","GCC OpenMP (GOMP) support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libleptonica6","libleptonica6","libleptonica6","image processing library","","","1","1","","","","Section=libs; Version=1.84.1-4","","","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","","","",""
"libacl1-dev","libacl1-dev","libacl1-dev","access control list - static libraries and headers","","","1","1","","","","Section=libdevel; Version=2.3.2-2+b1","","","","","","","",""
"libbz2-dev","libbz2-dev","libbz2-dev","high-quality block-sorting file compressor library - development","","","1","1","","","","Section=libdevel; Version=1.0.8-6","","","","","","","",""
"libext2fs-dev","libext2fs-dev","libext2fs-dev","ext2/ext3/ext4 file system libraries - headers and static libraries","","","1","1","","","","Section=libdevel; Version=1.47.2-3+b3","","","","","","","",""
"liblz4-dev","liblz4-dev","liblz4-dev","Fast LZ compression algorithm library - development files","","","1","1","","","","Section=libdevel; Version=1.10.0-4","","","","","","","",""
"liblzma-dev","liblzma-dev","liblzma-dev","XZ-format compression library - development files","","","1","1","","","","Section=libdevel; Version=5.8.1-1","","","","","","","",""
"libxml2-dev","libxml2-dev","libxml2-dev","GNOME XML library - development files","","","1","1","","","","Section=libdevel; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1","","","","","","","",""
"libzstd-dev","libzstd-dev","libzstd-dev","fast lossless compression algorithm -- development files","","","1","1","","","","Section=libdevel; Version=1.5.7+dfsg-1","","","","","","","",""
"nettle-dev","nettle-dev","nettle-dev","low level cryptographic library (development files)","","","1","1","","","","Section=libdevel; Version=3.10.1-1","","","","","","","",""
"zlib1g-dev","zlib1g-dev","zlib1g-dev","compression library - development","","","1","1","","","","Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1","","","","","","","",""
"libbrotli-dev","libbrotli-dev","libbrotli-dev","library implementing brotli encoder and decoder (development files)","","","1","1","","","","Section=libdevel; Version=1.1.0-2+b7","","","","","","","",""
"libidn2-dev","libidn2-dev","libidn2-dev","Internationalized domain names (IDNA2008/TR46) development files","","","1","1","","","","Section=libdevel; Version=2.3.8-2","","","","","","","",""
"libkrb5-dev","libkrb5-dev","libkrb5-dev","headers and development libraries for MIT Kerberos","","","1","1","","","","Section=libdevel; Version=1.21.3-5","","","","","","","",""
"libldap-dev","libldap-dev","libldap-dev","OpenLDAP development libraries","","","1","1","","","","Section=libdevel; Version=2.6.10+dfsg-1","","","","","","","",""
"libnghttp2-dev","libnghttp2-dev","libnghttp2-dev","library implementing HTTP/2 protocol (development files)","","","1","1","","","","Section=libdevel; Version=1.64.0-1.1","","","","","","","",""
"libnghttp3-dev","libnghttp3-dev","libnghttp3-dev","HTTP/3 library with QUIC and QPACK (development)","","","1","1","","","","Section=libdevel; Version=1.8.0-1","","","","","","","",""
"libpsl-dev","libpsl-dev","libpsl-dev","Library for Public Suffix List (development headers)","","","1","1","","","","Section=libdevel; Version=0.21.2-1.1+b1","","","","","","","",""
"librtmp-dev","librtmp-dev","librtmp-dev","toolkit for RTMP streams (development files)","","","1","1","","","","Section=libdevel; Version=2.4+20151223.gitfa8646d.1-2+b5","","","","","","","",""
"libssh2-1-dev","libssh2-1-dev","libssh2-1-dev","SSH2 client-side library (development headers)","","","1","1","","","","Section=libdevel; Version=1.11.1-1","","","","","","","",""
"libssl-dev","libssl-dev","libssl-dev","Secure Sockets Layer toolkit - development files","","","1","1","","","","Section=libdevel; Version=3.5.1-1","","","","","","","",""
"","","","","","","","","","","","","libtesseract-dev","libtesseract5","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract-dev","libleptonica-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract-dev","libarchive-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract-dev","libcurl4-openssl-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libarchive13t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libc6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libcurl4t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libgcc-s1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libgomp1","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libleptonica6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libtesseract5","libstdc++6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libleptonica-dev","libleptonica6","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libacl1-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libarchive13t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libbz2-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libext2fs-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","liblz4-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","liblzma-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libxml2-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","libzstd-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","nettle-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libarchive-dev","zlib1g-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libbrotli-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libcurl4t64","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libidn2-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libkrb5-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libldap-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libnghttp2-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libnghttp3-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libpsl-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","librtmp-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libssh2-1-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libssl-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","libzstd-dev","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","libcurl4-openssl-dev","zlib1g-dev","Depends","#333","1","Depends","arrow","{}"
