id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"tex-common","tex-common","tex-common","common infrastructure for building and installing TeX","","","1","1","","","","Section=tex; Version=6.19","","","","","","","",""
"ucf","ucf","ucf","Update Configuration File(s): preserve user changes to config files","","","1","1","","","","Section=utils; Version=3.0052","","","","","","","",""
"debconf","debconf","debconf","Debian configuration management system","","","1","1","","","","Section=admin; Version=1.5.91","","","","","","","",""
"libtext-wrapi18n-perl","libtext-wrapi18n-perl","libtext-wrapi18n-perl","internationalized substitute of Text::Wrap","","","1","1","","","","Section=perl; Version=0.06-10","","","","","","","",""
"procps","procps","procps","/proc file system utilities","","","1","1","","","","Section=admin; Version=2:4.0.4-9","","","","","","","",""
"sensible-utils","sensible-utils","sensible-utils","Utilities for sensible alternative selection","","","1","1","","","","Section=utils; Version=0.0.25","","","","","","","",""
"","","","","","","","","","","","","tex-common","ucf","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ucf","debconf","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ucf","libtext-wrapi18n-perl","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ucf","procps","Depends","#333","1","Depends","arrow","{}"
"","","","","","","","","","","","","ucf","sensible-utils","Depends","#333","1","Depends","arrow","{}"
