id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libtiff-dev,libtiff-dev,libtiff-dev,"Tag Image File Format library (TIFF), development files",,,1,1,,,,Section=libdevel; Version=4.7.0-3,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libjbig-dev,libjbig-dev,libjbig-dev,JBIGkit development files,,,1,1,,,,Section=libdevel; Version=2.1-6.1+b2,,,,,,,
libjpeg-dev,libjpeg-dev,libjpeg-dev,Development files for the JPEG library [dummy package],,,1,1,,,,Section=libdevel; Version=1:2.1.5-4,,,,,,,
liblzma-dev,liblzma-dev,liblzma-dev,XZ-format compression library - development files,,,1,1,,,,Section=libdevel; Version=5.8.1-1,,,,,,,
libzstd-dev,libzstd-dev,libzstd-dev,fast lossless compression algorithm -- development files,,,1,1,,,,Section=libdevel; Version=1.5.7+dfsg-1,,,,,,,
libwebp-dev,libwebp-dev,libwebp-dev,Lossy compression of digital photographic images (development files),,,1,1,,,,Section=libdevel; Version=1.5.0-0.1,,,,,,,
libtiff6,libtiff6,libtiff6,Tag Image File Format (TIFF) library,,,1,1,,,,Section=libs; Version=4.7.0-3,,,,,,,
libtiffxx6,libtiffxx6,libtiffxx6,Tag Image File Format (TIFF) library -- C++ interface,,,1,1,,,,Section=libs; Version=4.7.0-3,,,,,,,
zlib1g-dev,zlib1g-dev,zlib1g-dev,compression library - development,,,1,1,,,,Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libdeflate-dev,libdeflate-dev,libdeflate-dev,headers for whole-buffer compression and decompression library,,,1,1,,,,Section=libdevel; Version=1.23-2,,,,,,,
liblerc-dev,liblerc-dev,liblerc-dev,Limited Error Raster Compression library (Development files),,,1,1,,,,Section=libdevel; Version=4.0.0+ds-5,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libc-dev-bin,libc-dev-bin,libc-dev-bin,GNU C Library: Development binaries,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
linux-libc-dev,linux-libc-dev,linux-libc-dev,Linux support headers for userspace development,,,1,1,,,,Section=devel; Version=6.12.43-1,,,,,,,
libcrypt-dev,libcrypt-dev,libcrypt-dev,libcrypt development files,,,1,1,,,,Section=libdevel; Version=1:4.4.38-1,,,,,,,
