id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libtk8.6,libtk8.6,libtk8.6,Tk toolkit for Tcl and X11 v8.6 - run-time files,,,1,1,,,,Section=libs; Version=8.6.16-1,,,,,,,
libtcl8.6,libtcl8.6,libtcl8.6,Tcl (the Tool Command Language) v8.6 - run-time library files,,,1,1,,,,Section=libs; Version=8.6.16+dfsg-1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfontconfig1,libfontconfig1,libfontconfig1,generic font configuration library - runtime,,,1,1,,,,Section=libs; Version=2.15.0-2.3,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxft2,libxft2,libxft2,FreeType-based font drawing library for X,,,1,1,,,,Section=libs; Version=2.3.6-1+b4,,,,,,,
libxss1,libxss1,libxss1,X11 Screen Saver extension library,,,1,1,,,,Section=libs; Version=1:1.2.3-1+b3,,,,,,,
tzdata,tzdata,tzdata,time zone and daylight-saving time data,,,1,1,,,,Section=localization; Version=2025b-4+deb13u1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libexpat1,libexpat1,libexpat1,XML parsing C library - runtime library,,,1,1,,,,Section=libs; Version=2.7.1-2,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
fontconfig-config,fontconfig-config,fontconfig-config,generic font configuration library - configuration,,,1,1,,,,Section=fonts; Version=2.15.0-2.3,,,,,,,
libxcb1,libxcb1,libxcb1,X C Binding,,,1,1,,,,Section=libs; Version=1.17.0-2+b1,,,,,,,
libx11-data,libx11-data,libx11-data,X11 client-side library,,,1,1,,,,Section=x11; Version=2:1.8.12-1,,,,,,,
libxrender1,libxrender1,libxrender1,X Rendering Extension client library,,,1,1,,,,Section=libs; Version=1:0.9.12-1,,,,,,,
libxext6,libxext6,libxext6,X11 miscellaneous extension library,,,1,1,,,,Section=libs; Version=2:1.3.4-1+b3,,,,,,,
x11-common,x11-common,x11-common,X Window System (X.Org) infrastructure,,,1,1,,,,Section=x11; Version=1:7.7+24,,,,,,,
,,,,,,,,,,,,libtcl8.6,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxft2,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxss1,libtk8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,tzdata,libtcl8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libtcl8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libtcl8.6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libc6,libfontconfig1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libexpat1,libfontconfig1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6,libfontconfig1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,fontconfig-config,libfontconfig1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libx11-6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxcb1,libx11-6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-data,libx11-6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxrender1,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxext6,libxss1,Depends,#333,1,Depends,{}
,,,,,,,,,,,,x11-common,libxss1,Depends,#333,1,Depends,{}
