id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libtss2-dev,libtss2-dev,libtss2-dev,TPM2 Software stack library - development files,,,1,1,,,,Section=libdevel; Version=4.1.3-1.2,,,,,,,
libcurl4-openssl-dev,libcurl4-openssl-dev,libcurl4-openssl-dev,development files and documentation for libcurl (OpenSSL flavour),,,1,1,,,,Section=libdevel; Version=8.14.1-2,,,,,,,
libjson-c-dev,libjson-c-dev,libjson-c-dev,JSON manipulation library - development files,,,1,1,,,,Section=libdevel; Version=0.18+ds-1,,,,,,,
libssl-dev,libssl-dev,libssl-dev,Secure Sockets Layer toolkit - development files,,,1,1,,,,Section=libdevel; Version=3.5.1-1,,,,,,,
libtss2-esys-3.0.2-0t64,libtss2-esys-3.0.2-0t64,libtss2-esys-3.0.2-0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-fapi1t64,libtss2-fapi1t64,libtss2-fapi1t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-mu-4.0.1-0t64,libtss2-mu-4.0.1-0t64,libtss2-mu-4.0.1-0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-policy0t64,libtss2-policy0t64,libtss2-policy0t64,TPM2 Software stack library - policy libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-rc0t64,libtss2-rc0t64,libtss2-rc0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-sys1t64,libtss2-sys1t64,libtss2-sys1t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-cmd0t64,libtss2-tcti-cmd0t64,libtss2-tcti-cmd0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-device0t64,libtss2-tcti-device0t64,libtss2-tcti-device0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-i2c-ftdi0,libtss2-tcti-i2c-ftdi0,libtss2-tcti-i2c-ftdi0,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-i2c-helper0,libtss2-tcti-i2c-helper0,libtss2-tcti-i2c-helper0,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-libtpms0t64,libtss2-tcti-libtpms0t64,libtss2-tcti-libtpms0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-mssim0t64,libtss2-tcti-mssim0t64,libtss2-tcti-mssim0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-pcap0t64,libtss2-tcti-pcap0t64,libtss2-tcti-pcap0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-spi-ftdi0,libtss2-tcti-spi-ftdi0,libtss2-tcti-spi-ftdi0,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
libtss2-tcti-spi-helper0t64,libtss2-tcti-spi-helper0t64,libtss2-tcti-spi-helper0t64,TPM2 Software stack library - TSS and TCTI libraries,,,1,1,,,,Section=libs; Version=4.1.3-1.2,,,,,,,
