id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"tryton-modules-product","tryton-modules-product","tryton-modules-product","Tryton application platform - product module","","","1","1","","","","Section=python; Version=7.0.2-1","","","","","","","",""
"python3-sql","python3-sql","python3-sql","Library to write SQL queries (implemented in Python 3)","","","1","1","","","","Section=python; Version=1.5.2-2","","","","","","","",""
"python3-stdnum","python3-stdnum","python3-stdnum","Python module to handle standardized numbers and codes (Python3 version)","","","1","1","","","","Section=python; Version=1.20-3","","","","","","","",""
"tryton-modules-company","tryton-modules-company","tryton-modules-company","Tryton application platform - company module","","","1","1","","","","Section=python; Version=7.0.2-1","","","","","","","",""
"tryton-server","tryton-server","tryton-server","Tryton application platform - server","","","1","1","","","","Section=python; Version=7.0.30-1","","","","","","","",""
"tryton-server-api-7.0","tryton-server-api-7.0","tryton-server-api-7.0","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"python3:any","python3:any","python3:any","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libjs-sphinxdoc","libjs-sphinxdoc","libjs-sphinxdoc","JavaScript support for Sphinx documentation","","","1","1","","","","Section=javascript; Version=8.1.3-5","","","","","","","",""
"python3-barcode","python3-barcode","python3-barcode","Create standard barcodes with Python","","","1","1","","","","Section=python; Version=0.15.1-2","","","","","","","",""
"tryton-modules-currency","tryton-modules-currency","tryton-modules-currency","Tryton application platform - currency module","","","1","1","","","","Section=python; Version=7.0.1-3","","","","","","","",""
"tryton-modules-party","tryton-modules-party","tryton-modules-party","Tryton application platform - party module","","","1","1","","","","Section=python; Version=7.0.6-1","","","","","","","",""
"python3-tz","python3-tz","python3-tz","transitional package to rename python3-tz","","","1","1","","","","Section=python; Version=2025.2-3","","","","","","","",""
"adduser","adduser","adduser","add and remove users and groups","","","1","1","","","","Section=admin; Version=3.152","","","","","","","",""
"python3-bcrypt","python3-bcrypt","python3-bcrypt","password hashing library for Python 3","","","1","1","","","","Section=python; Version=4.2.0-2.1+b1","","","","","","","",""
"python3-dateutil","python3-dateutil","python3-dateutil","powerful extensions to the standard Python 3 datetime module","","","1","1","","","","Section=python; Version=2.9.0-4","","","","","","","",""
"python3-defusedxml","python3-defusedxml","python3-defusedxml","XML bomb protection for Python stdlib modules (for Python 3)","","","1","1","","","","Section=python; Version=0.7.1-3","","","","","","","",""
"python3-genshi","python3-genshi","python3-genshi","Python XML-based template engine - Python 3.x","","","1","1","","","","Section=python; Version=0.7.9-2+b1","","","","","","","",""
"python3-lxml","python3-lxml","python3-lxml","pythonic binding for the libxml2 and libxslt libraries","","","1","1","","","","Section=python; Version=5.4.0-1","","","","","","","",""
"python3-passlib","python3-passlib","python3-passlib","comprehensive password hashing framework","","","1","1","","","","Section=python; Version=1.7.4-6","","","","","","","",""
"python3-polib","python3-polib","python3-polib","Python 3 library to parse and manage gettext catalogs","","","1","1","","","","Section=python; Version=1.2.0-2","","","","","","","",""
"python3-relatorio","python3-relatorio","python3-relatorio","Python module to create reports from Python objects (Python3)","","","1","1","","","","Section=python; Version=0.11.1-1","","","","","","","",""
"python3-werkzeug","python3-werkzeug","python3-werkzeug","Collection of utilities for WSGI applications (Python 3.x)","","","1","1","","","","Section=python; Version=3.1.3-2","","","","","","","",""
"ucf","ucf","ucf","Update Configuration File(s): preserve user changes to config files","","","1","1","","","","Section=utils; Version=3.0052","","","","","","","",""
"default-mta","default-mta","default-mta","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libreoffice-calc","libreoffice-calc","libreoffice-calc","office productivity suite -- spreadsheet","","","1","1","","","","Section=editors; Version=4:25.2.3-2+deb13u2","","","","","","","",""
"libreoffice-writer","libreoffice-writer","libreoffice-writer","office productivity suite -- word processor","","","1","1","","","","Section=editors; Version=4:25.2.3-2+deb13u2","","","","","","","",""
"postgresql","postgresql","postgresql","object-relational SQL database (supported version)","","","1","1","","","","Section=database; Version=17+278","","","","","","","",""
"python3-argon2","python3-argon2","python3-argon2","Argon2 password hashing library - Python 3.x Module","","","1","1","","","","Section=python; Version=21.1.0-3","","","","","","","",""
