id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"libuim-custom2","libuim-custom2","libuim-custom2","Universal Input Method - uim-custom API library","","","1","1","","","","Section=libs; Version=1:1.9.6-1","","","","","",""
"libc6","libc6","libc6","GNU C Library: Shared libraries","","","1","1","","","","Section=libs; Version=2.41-12","","","","","",""
"libuim-scm0","libuim-scm0","libuim-scm0","Universal Input Method - uim-scm API library","","","1","1","","","","Section=libs; Version=1:1.9.6-1","","","","","",""
"libuim8","libuim8","libuim8","Universal Input Method - uim library","","","1","1","","","","Section=libs; Version=1:1.9.6-1","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"libidn2-0","libidn2-0","libidn2-0","Internationalized domain names (IDNA2008/TR46) library","","","1","1","","","","Section=libs; Version=2.3.8-2","","","","","",""
"libgcroots0","libgcroots0","libgcroots0","GC shared library for sigscheme Scheme interpreter","","","1","1","","","","Section=libs; Version=0.9.1-3","","","","","",""
"","","","","","","","","","","","","libuim-custom2","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim-custom2","libuim-scm0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim-custom2","libuim8","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libgcc-s1","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libc6","libidn2-0","Recommends","#333","1","Recommends","{}"
"","","","","","","","","","","","","libuim-scm0","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim-scm0","libgcroots0","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim-scm0","libuim8","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim8","libc6","Depends","#333","1","Depends","{}"
"","","","","","","","","","","","","libuim8","libuim-scm0","Depends","#333","1","Depends","{}"
