id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libukui-backgroundclient-dev,libukui-backgroundclient-dev,libukui-backgroundclient-dev,background settings interfaces,,,1,1,,,,Section=libdevel; Version=1.0.1-2+b4,,,,,,,
libukui-backgroundclient0,libukui-backgroundclient0,libukui-backgroundclient0,background settings module,,,1,1,,,,Section=libs; Version=1.0.1-2+b4,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libglib2.0-0t64,libglib2.0-0t64,libglib2.0-0t64,GLib library of C routines,,,1,1,,,,Section=libs; Version=2.84.4-3~deb13u1,,,,,,,
libukui-print0,libukui-print0,libukui-print0,print module,,,1,1,,,,Section=libs; Version=1.0.1-2+b4,,,,,,,
libukui-gsettings0,libukui-gsettings0,libukui-gsettings0,application settings module,,,1,1,,,,Section=libs; Version=1.0.1-2+b4,,,,,,,
ukui-backgroundserver,ukui-backgroundserver,ukui-backgroundserver,background settings service process,,,1,1,,,,Section=libs; Version=1.0.1-2+b4,,,,,,,
,,,,,,,,,,,,libukui-backgroundclient0,libukui-backgroundclient-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libukui-backgroundclient0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libglib2.0-0t64,libukui-backgroundclient0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libukui-print0,libukui-backgroundclient0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libukui-gsettings0,libukui-backgroundclient0,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ukui-backgroundserver,libukui-backgroundclient0,Depends,#333,1,Depends,{}
