id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,extra
"libvtk9-dev","libvtk9-dev","libvtk9-dev","VTK header files","","","1","1","","","","Section=libdevel; Version=9.3.0+dfsg1-4+b1","","","","","","","",""
"default-jdk","default-jdk","default-jdk","Standard Java or Java compatible Development Kit","","","1","1","","","","Section=java; Version=2:1.21-76","","","","","","","",""
"default-libmysqlclient-dev","default-libmysqlclient-dev","default-libmysqlclient-dev","MySQL database development files (metapackage)","","","1","1","","","","Section=database; Version=1.1.1","","","","","","","",""
"libavcodec-dev","libavcodec-dev","libavcodec-dev","FFmpeg library with de/encoders for audio/video codecs - development files","","","1","1","","","","Section=libdevel; Version=7:7.1.1-1+b1","","","","","","","",""
"libavformat-dev","libavformat-dev","libavformat-dev","FFmpeg library with (de)muxers for multimedia containers - development files","","","1","1","","","","Section=libdevel; Version=7:7.1.1-1+b1","","","","","","","",""
"libavutil-dev","libavutil-dev","libavutil-dev","FFmpeg library with functions for simplifying programming - development files","","","1","1","","","","Section=libdevel; Version=7:7.1.1-1+b1","","","","","","","",""
"libc6-dev","libc6-dev","libc6-dev","GNU C Library: Development Libraries and Header Files","","","1","1","","","","Section=libdevel; Version=2.41-12","","","","","","","",""
"libdouble-conversion-dev","libdouble-conversion-dev","libdouble-conversion-dev","routines to convert IEEE floats to and from strings (development files)","","","1","1","","","","Section=libdevel; Version=3.3.1-1","","","","","","","",""
"libeigen3-dev","libeigen3-dev","libeigen3-dev","lightweight C++ template library for linear algebra","","","1","1","","","","Section=libdevel; Version=3.4.0-5","","","","","","","",""
"libexpat-dev","libexpat-dev","libexpat-dev","unknown","","","1","1","","","","missing in Packages file","","","","","","","",""
"libfreetype-dev","libfreetype-dev","libfreetype-dev","FreeType 2 font engine, development files","","","1","1","","","","Section=libdevel; Version=2.13.3+dfsg-1","","","","","","","",""
"libgdal-dev","libgdal-dev","libgdal-dev","Geospatial Data Abstraction Library - Development files","","","1","1","","","","Section=libdevel; Version=3.10.3+dfsg-1","","","","","","","",""
"libgl-dev","libgl-dev","libgl-dev","Vendor neutral GL dispatch library -- GL development files","","","1","1","","","","Section=libs; Version=1.7.0-1+b2","","","","","","","",""
"libgl2ps-dev","libgl2ps-dev","libgl2ps-dev","Lib providing high quality vector output for OpenGL application, dev files","","","1","1","","","","Section=libdevel; Version=1.4.2+dfsg1-2","","","","","","","",""
"libglew-dev","libglew-dev","libglew-dev","OpenGL Extension Wrangler - development environment","","","1","1","","","","Section=libdevel; Version=2.2.0-4+b2","","","","","","","",""
"libglu1-mesa-dev","libglu1-mesa-dev","libglu1-mesa-dev","Mesa OpenGL utility library -- development files","","","1","1","","","","Section=libdevel; Version=9.0.2-1.1+b3","","","","","","","",""
"libhdf5-mpi-dev","libhdf5-mpi-dev","libhdf5-mpi-dev","HDF5 - development files - default MPI version","","","1","1","","","","Section=libdevel; Version=1.14.5+repack-3","","","","","","","",""
"libjpeg-dev","libjpeg-dev","libjpeg-dev","Development files for the JPEG library [dummy package]","","","1","1","","","","Section=libdevel; Version=1:2.1.5-4","","","","","","","",""
"libjsoncpp-dev","libjsoncpp-dev","libjsoncpp-dev","library for reading and writing JSON for C++ (devel files)","","","1","1","","","","Section=libdevel; Version=1.9.6-3","","","","","","","",""
"liblz4-dev","liblz4-dev","liblz4-dev","Fast LZ compression algorithm library - development files","","","1","1","","","","Section=libdevel; Version=1.10.0-4","","","","","","","",""
"libnetcdf-dev","libnetcdf-dev","libnetcdf-dev","creation, access, and sharing of scientific data","","","1","1","","","","Section=libdevel; Version=1:4.9.3-1","","","","","","","",""
"libpng-dev","libpng-dev","libpng-dev","PNG library - development (version 1.6)","","","1","1","","","","Section=libdevel; Version=1.6.48-1","","","","","","","",""
"libpq-dev","libpq-dev","libpq-dev","header files for libpq5 (PostgreSQL library)","","","1","1","","","","Section=libdevel; Version=17.6-0+deb13u1","","","","","","","",""
"libproj-dev","libproj-dev","libproj-dev","Cartographic projection library (development files)","","","1","1","","","","Section=libdevel; Version=9.6.0-1","","","","","","","",""
"libpython3-dev","libpython3-dev","libpython3-dev","header files and a static library for Python (default)","","","1","1","","","","Section=python; Version=3.13.5-1","","","","","","","",""
"libswscale-dev","libswscale-dev","libswscale-dev","FFmpeg library for image scaling and various conversions - development files","","","1","1","","","","Section=libdevel; Version=7:7.1.1-1+b1","","","","","","","",""
"libtbb-dev","libtbb-dev","libtbb-dev","parallelism library for C++ - development files","","","1","1","","","","Section=libdevel; Version=2022.1.0-1","","","","","","","",""
"libtheora-dev","libtheora-dev","libtheora-dev","Theora Video Compression Codec (development files)","","","1","1","","","","Section=libdevel; Version=1.2.0~alpha1+dfsg-6","","","","","","","",""
"libtiff-dev","libtiff-dev","libtiff-dev","Tag Image File Format library (TIFF), development files","","","1","1","","","","Section=libdevel; Version=4.7.0-3","","","","","","","",""
"libutfcpp-dev","libutfcpp-dev","libutfcpp-dev","UTF8-CPP: UTF-8 with C++ - dev","","","1","1","","","","Section=libdevel; Version=4.0.5-1","","","","","","","",""
"libvtk9.3","libvtk9.3","libvtk9.3","VTK libraries","","","1","1","","","","Section=libs; Version=9.3.0+dfsg1-4+b1","","","","","","","",""
"libvtk9-java","libvtk9-java","libvtk9-java","VTK - Java language support","","","1","1","","","","Section=java; Version=9.3.0+dfsg1-4+b1","","","","","","","",""
"libx11-dev","libx11-dev","libx11-dev","X11 client-side library (development headers)","","","1","1","","","","Section=libdevel; Version=2:1.8.12-1","","","","","","","",""
"libxft-dev","libxft-dev","libxft-dev","FreeType-based font drawing library for X (development files)","","","1","1","","","","Section=libdevel; Version=2.3.6-1+b4","","","","","","","",""
"libxml2-dev","libxml2-dev","libxml2-dev","GNOME XML library - development files","","","1","1","","","","Section=libdevel; Version=2.12.7+dfsg+really2.9.14-2.1+deb13u1","","","","","","","",""
"libxss-dev","libxss-dev","libxss-dev","X11 Screen Saver extension library (development headers)","","","1","1","","","","Section=libdevel; Version=1:1.2.3-1+b3","","","","","","","",""
