id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libwxbase3.2-1t64,libwxbase3.2-1t64,libwxbase3.2-1t64,wxBase library (runtime) - non-GUI support classes of wxWidgets toolkit,,,1,1,,,,Section=libs; Version=3.2.8+dfsg-2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libcurl4t64,libcurl4t64,libcurl4t64,easy-to-use client-side URL transfer library (OpenSSL flavour),,,1,1,,,,Section=libs; Version=8.14.1-2,,,,,,,
libexpat1,libexpat1,libexpat1,XML parsing C library - runtime library,,,1,1,,,,Section=libs; Version=2.7.1-2,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
liblzma5,liblzma5,liblzma5,XZ-format compression library,,,1,1,,,,Section=libs; Version=5.8.1-1,,,,,,,
libpcre2-32-0,libpcre2-32-0,libpcre2-32-0,New Perl Compatible Regular Expression Library - 32 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libstdc++6,libstdc++6,libstdc++6,GNU Standard C++ Library v3,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libbrotli1,libbrotli1,libbrotli1,library implementing brotli encoder and decoder (shared libraries),,,1,1,,,,Section=libs; Version=1.1.0-2+b7,,,,,,,
libgssapi-krb5-2,libgssapi-krb5-2,libgssapi-krb5-2,MIT Kerberos runtime libraries - krb5 GSS-API Mechanism,,,1,1,,,,Section=libs; Version=1.21.3-5,,,,,,,
libldap2,libldap2,libldap2,OpenLDAP libraries,,,1,1,,,,Section=libs; Version=2.6.10+dfsg-1,,,,,,,
libnghttp2-14,libnghttp2-14,libnghttp2-14,library implementing HTTP/2 protocol (shared library),,,1,1,,,,Section=libs; Version=1.64.0-1.1,,,,,,,
libnghttp3-9,libnghttp3-9,libnghttp3-9,HTTP/3 library with QUIC and QPACK (library),,,1,1,,,,Section=libs; Version=1.8.0-1,,,,,,,
libpsl5t64,libpsl5t64,libpsl5t64,Library for Public Suffix List (shared libraries),,,1,1,,,,Section=libs; Version=0.21.2-1.1+b1,,,,,,,
librtmp1,librtmp1,librtmp1,toolkit for RTMP streams (shared library),,,1,1,,,,Section=libs; Version=2.4+20151223.gitfa8646d.1-2+b5,,,,,,,
libssh2-1t64,libssh2-1t64,libssh2-1t64,SSH2 client-side library,,,1,1,,,,Section=libs; Version=1.11.1-1,,,,,,,
libssl3t64,libssl3t64,libssl3t64,Secure Sockets Layer toolkit - shared libraries,,,1,1,,,,Section=libs; Version=3.5.1-1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
ca-certificates,ca-certificates,ca-certificates,Common CA certificates,,,1,1,,,,Section=misc; Version=20250419,,,,,,,
gcc-14-base,gcc-14-base,gcc-14-base,"GCC, the GNU Compiler Collection (base package)",,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
,,,,,,,,,,,,libc6,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libcurl4t64,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libexpat1,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,liblzma5,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpcre2-32-0,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libstdc++6,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g,libwxbase3.2-1t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgcc-s1,libc6,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libc6,Recommends,#333,1,Recommends,{}
,,,,,,,,,,,,libbrotli1,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libgssapi-krb5-2,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libidn2-0,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libldap2,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnghttp2-14,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libnghttp3-9,libcurl4t64,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libpsl5t64,libcurl4t64,Depends,#333,1,Depends,{}
