id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
libxft-dev,libxft-dev,libxft-dev,FreeType-based font drawing library for X (development files),,,1,1,,,,Section=libdevel; Version=2.3.6-1+b4,,,,,,,
libxft2,libxft2,libxft2,FreeType-based font drawing library for X,,,1,1,,,,Section=libs; Version=2.3.6-1+b4,,,,,,,
libc6-dev,libc6-dev,libc6-dev,GNU C Library: Development Libraries and Header Files,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
libfontconfig1-dev,libfontconfig1-dev,libfontconfig1-dev,generic font configuration library - dummy package,,,1,1,,,,Section=libdevel; Version=2.15.0-2.3,,,,,,,
libfreetype6-dev,libfreetype6-dev,libfreetype6-dev,unknown,,,1,1,,,,missing in Packages file,,,,,,,
libx11-dev,libx11-dev,libx11-dev,X11 client-side library (development headers),,,1,1,,,,Section=libdevel; Version=2:1.8.12-1,,,,,,,
libxrender-dev,libxrender-dev,libxrender-dev,X Rendering Extension client library (development files),,,1,1,,,,Section=libdevel; Version=1:0.9.12-1,,,,,,,
zlib1g-dev,zlib1g-dev,zlib1g-dev,compression library - development,,,1,1,,,,Section=libdevel; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libfontconfig1,libfontconfig1,libfontconfig1,generic font configuration library - runtime,,,1,1,,,,Section=libs; Version=2.15.0-2.3,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxrender1,libxrender1,libxrender1,X Rendering Extension client library,,,1,1,,,,Section=libs; Version=1:0.9.12-1,,,,,,,
libc-dev-bin,libc-dev-bin,libc-dev-bin,GNU C Library: Development binaries,,,1,1,,,,Section=libdevel; Version=2.41-12,,,,,,,
linux-libc-dev,linux-libc-dev,linux-libc-dev,Linux support headers for userspace development,,,1,1,,,,Section=devel; Version=6.12.43-1,,,,,,,
libcrypt-dev,libcrypt-dev,libcrypt-dev,libcrypt development files,,,1,1,,,,Section=libdevel; Version=1:4.4.38-1,,,,,,,
rpcsvc-proto,rpcsvc-proto,rpcsvc-proto,RPC protocol compiler and definitions,,,1,1,,,,Section=libs; Version=1.4.3-1,,,,,,,
libfontconfig-dev,libfontconfig-dev,libfontconfig-dev,generic font configuration library - development,,,1,1,,,,Section=libdevel; Version=2.15.0-2.3,,,,,,,
libxau-dev,libxau-dev,libxau-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.0.11-1,,,,,,,
libxdmcp-dev,libxdmcp-dev,libxdmcp-dev,X11 authorisation library (development headers),,,1,1,,,,Section=libdevel; Version=1:1.1.5-1,,,,,,,
x11proto-dev,x11proto-dev,x11proto-dev,X11 extension protocols and auxiliary headers,,,1,1,,,,Section=x11; Version=2024.1-1,,,,,,,
xtrans-dev,xtrans-dev,xtrans-dev,X transport library (development files),,,1,1,,,,Section=x11; Version=1.4.0-1,,,,,,,
libxcb1-dev,libxcb1-dev,libxcb1-dev,"X C Binding, development files",,,1,1,,,,Section=libdevel; Version=1.17.0-2+b1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
,,,,,,,,,,,,libxft2,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libxrender-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,zlib1g-dev,libxft-dev,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libc6,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfontconfig1,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libfreetype6,libxft2,Depends,#333,1,Depends,{}
,,,,,,,,,,,,libx11-6,libxft2,Depends,#333,1,Depends,{}
