id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
xnest,xnest,xnest,Nested X server,,,1,1,,,,Section=x11; Version=2:21.1.16-1.3,,,,,,,
xserver-common,xserver-common,xserver-common,common files used by various X servers,,,1,1,,,,Section=x11; Version=2:21.1.16-1.3,,,,,,,
libaudit1,libaudit1,libaudit1,Dynamic library for security auditing,,,1,1,,,,Section=libs; Version=1:4.0.2-2+b2,,,,,,,
libc6,libc6,libc6,GNU C Library: Shared libraries,,,1,1,,,,Section=libs; Version=2.41-12,,,,,,,
libnettle8t64,libnettle8t64,libnettle8t64,low level cryptographic library (symmetric and one-way cryptos),,,1,1,,,,Section=libs; Version=3.10.1-1,,,,,,,
libpixman-1-0,libpixman-1-0,libpixman-1-0,pixel-manipulation library for X and cairo,,,1,1,,,,Section=libs; Version=0.44.0-3,,,,,,,
libselinux1,libselinux1,libselinux1,SELinux runtime shared libraries,,,1,1,,,,Section=libs; Version=3.8.1-1,,,,,,,
libsystemd0,libsystemd0,libsystemd0,systemd utility library,,,1,1,,,,Section=libs; Version=257.8-1~deb13u1,,,,,,,
libunwind8,libunwind8,libunwind8,library to determine the call-chain of a program - runtime,,,1,1,,,,Section=libs; Version=1.8.1-0.1,,,,,,,
libx11-6,libx11-6,libx11-6,X11 client-side library,,,1,1,,,,Section=libs; Version=2:1.8.12-1,,,,,,,
libxau6,libxau6,libxau6,X11 authorisation library,,,1,1,,,,Section=libs; Version=1:1.0.11-1,,,,,,,
libxdmcp6,libxdmcp6,libxdmcp6,X11 Display Manager Control Protocol library,,,1,1,,,,Section=libs; Version=1:1.1.5-1,,,,,,,
libxext6,libxext6,libxext6,X11 miscellaneous extension library,,,1,1,,,,Section=libs; Version=2:1.3.4-1+b3,,,,,,,
libxfont2,libxfont2,libxfont2,X11 font rasterisation library,,,1,1,,,,Section=libs; Version=1:2.0.6-1+b3,,,,,,,
libgl1-mesa-dri,libgl1-mesa-dri,libgl1-mesa-dri,free implementation of the OpenGL API -- DRI modules,,,1,1,,,,Section=libs; Version=25.0.7-2,,,,,,,
x11-common,x11-common,x11-common,X Window System (X.Org) infrastructure,,,1,1,,,,Section=x11; Version=1:7.7+24,,,,,,,
xkb-data,xkb-data,xkb-data,X Keyboard Extension (XKB) configuration data,,,1,1,,,,Section=x11; Version=2.42-1,,,,,,,
x11-xkb-utils,x11-xkb-utils,x11-xkb-utils,X11 XKB utilities,,,1,1,,,,Section=x11; Version=7.7+9,,,,,,,
xfonts-base,xfonts-base,xfonts-base,standard fonts for X,,,1,1,,,,Section=fonts; Version=1:1.0.5+nmu1,,,,,,,
xauth,xauth,xauth,X authentication utility,,,1,1,,,,Section=x11; Version=1:1.1.2-1.1,,,,,,,
libaudit-common,libaudit-common,libaudit-common,Dynamic library for security auditing - common files,,,1,1,,,,Section=libs; Version=1:4.0.2-2,,,,,,,
libcap-ng0,libcap-ng0,libcap-ng0,alternate POSIX capabilities library,,,1,1,,,,Section=libs; Version=0.8.5-4+b1,,,,,,,
libgcc-s1,libgcc-s1,libgcc-s1,GCC support library,,,1,1,,,,Section=libs; Version=14.2.0-19,,,,,,,
libidn2-0,libidn2-0,libidn2-0,Internationalized domain names (IDNA2008/TR46) library,,,1,1,,,,Section=libs; Version=2.3.8-2,,,,,,,
libpcre2-8-0,libpcre2-8-0,libpcre2-8-0,New Perl Compatible Regular Expression Library- 8 bit runtime files,,,1,1,,,,Section=libs; Version=10.46-1~deb13u1,,,,,,,
libcap2,libcap2,libcap2,POSIX 1003.1e capabilities (library),,,1,1,,,,Section=libs; Version=1:2.75-10+b1,,,,,,,
libzstd1,libzstd1,libzstd1,fast lossless compression algorithm,,,1,1,,,,Section=libs; Version=1.5.7+dfsg-1,,,,,,,
liblzma5,liblzma5,liblzma5,XZ-format compression library,,,1,1,,,,Section=libs; Version=5.8.1-1,,,,,,,
libxcb1,libxcb1,libxcb1,X C Binding,,,1,1,,,,Section=libs; Version=1.17.0-2+b1,,,,,,,
libx11-data,libx11-data,libx11-data,X11 client-side library,,,1,1,,,,Section=x11; Version=2:1.8.12-1,,,,,,,
libbz2-1.0,libbz2-1.0,libbz2-1.0,high-quality block-sorting file compressor library - runtime,,,1,1,,,,Section=libs; Version=1.0.8-6,,,,,,,
libfontenc1,libfontenc1,libfontenc1,X11 font encoding library,,,1,1,,,,Section=libs; Version=1:1.1.8-1+b2,,,,,,,
libfreetype6,libfreetype6,libfreetype6,"FreeType 2 font engine, shared library files",,,1,1,,,,Section=libs; Version=2.13.3+dfsg-1,,,,,,,
zlib1g,zlib1g,zlib1g,compression library - runtime,,,1,1,,,,Section=libs; Version=1:1.3.dfsg+really1.3.1-1+b1,,,,,,,
