# Topogram Sample
id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
esg-co2,CO2e Impact,CO2e,Aggregated emissions impact hub,#9e9e9e,#eeeeee,1,1,0,0,,,,,,,,,,,,,
esg-foxconn,Foxconn ESG,EMS/Assembly,ESG overlay for Foxconn,#4caf50,#c8e6c9,5,5,22.756,114.064,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-foxconn,esg-co2,annual CO2e (kt),#f44336,490,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-foxconn,esg-co2,annual CO2e (kt),#f44336,237,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-foxconn,esg-co2,annual CO2e (kt),#f44336,145,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-foxconn,esg-co2,annual CO2e (kt),#f44336,170,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-foxconn,esg-co2,annual CO2e (kt),#f44336,297,CO2e,arrow,,
esg-tsmc,TSMC ESG,Semiconductor Fab,ESG overlay for TSMC,#4caf50,#c8e6c9,5,5,24.813,120.967,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-tsmc,esg-co2,annual CO2e (kt),#f44336,331,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-tsmc,esg-co2,annual CO2e (kt),#f44336,184,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-tsmc,esg-co2,annual CO2e (kt),#f44336,171,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-tsmc,esg-co2,annual CO2e (kt),#f44336,350,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-tsmc,esg-co2,annual CO2e (kt),#f44336,424,CO2e,arrow,,
esg-samsung,Samsung Electronics ESG,Semiconductor + OEM,ESG overlay for Samsung Electronics,#4caf50,#c8e6c9,5,5,37.263,127.028,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-samsung,esg-co2,annual CO2e (kt),#f44336,107,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-samsung,esg-co2,annual CO2e (kt),#f44336,295,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-samsung,esg-co2,annual CO2e (kt),#f44336,164,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-samsung,esg-co2,annual CO2e (kt),#f44336,135,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-samsung,esg-co2,annual CO2e (kt),#f44336,153,CO2e,arrow,,
esg-lgchem,LG Chem ESG,Battery,ESG overlay for LG Chem,#4caf50,#c8e6c9,5,5,36.7133,127.4897,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-lgchem,esg-co2,annual CO2e (kt),#f44336,266,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-lgchem,esg-co2,annual CO2e (kt),#f44336,344,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-lgchem,esg-co2,annual CO2e (kt),#f44336,314,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-lgchem,esg-co2,annual CO2e (kt),#f44336,464,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-lgchem,esg-co2,annual CO2e (kt),#f44336,269,CO2e,arrow,,
esg-catl,CATL ESG,Battery,ESG overlay for CATL,#4caf50,#c8e6c9,5,5,26.6617,119.522,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-catl,esg-co2,annual CO2e (kt),#f44336,100,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-catl,esg-co2,annual CO2e (kt),#f44336,213,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-catl,esg-co2,annual CO2e (kt),#f44336,107,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-catl,esg-co2,annual CO2e (kt),#f44336,434,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-catl,esg-co2,annual CO2e (kt),#f44336,396,CO2e,arrow,,
esg-byd,BYD ESG,Battery + OEM,ESG overlay for BYD,#4caf50,#c8e6c9,5,5,22.555,113.883,,,,,,,,,,,,,
,,,,,,,,,,2020-01-01,2020-12-31,2020,2020-01-01,esg-byd,esg-co2,annual CO2e (kt),#f44336,222,CO2e,arrow,,
,,,,,,,,,,2021-01-01,2021-12-31,2021,2021-01-01,esg-byd,esg-co2,annual CO2e (kt),#f44336,151,CO2e,arrow,,
,,,,,,,,,,2022-01-01,2022-12-31,2022,2022-01-01,esg-byd,esg-co2,annual CO2e (kt),#f44336,333,CO2e,arrow,,
,,,,,,,,,,2023-01-01,2023-12-31,2023,2023-01-01,esg-byd,esg-co2,annual CO2e (kt),#f44336,257,CO2e,arrow,,
,,,,,,,,,,2024-01-01,2024-12-31,2024,2024-01-01,esg-byd,esg-co2,annual CO2e (kt),#f44336,183,CO2e,arrow,,
