source_package,count
glibc,23399
gcc-14,16293
python3-defaults,9597
perl,5455
qt6-base,4356
qtbase-opensource-src,4307
glib2.0,3529
dpdk,3362
zlib,2790
gmp,2243
gcc-14-cross-mipsen,1760
qt6-declarative,1613
sphinx,1612
gcc-14-cross-ports,1552
libx11,1510
gtk+3.0,1404
r-api-4.0,1319
gcc-14-cross,1306
mathjax,1260
pango1.0,1204
openssl,1139
libzstd,1097
haddock-interface-42,1083
libghc-base-dev-4.18.2.1-8e81e,1082
libghc-base-prof-4.18.2.1-8e81e,1081
ghc,1080
cairo,1024
php-defaults,1010
ncurses,986
ruby-defaults,950
gcc-13-cross-mipsen,928
mono,921
systemd,913
node-jquery,897
qtbase-opensource-src-gles,897
boost1.83,894
libreoffice,857
gdk-pixbuf,832
libglvnd,829
mpclib3,774
mpfr4,767
libxml2,760
debconf,736
qtdeclarative-opensource-src,723
ffmpeg,715
kf6-kconfig,689
isl,688
numpy,654
gcc-13-cross-ports,644
kf6-kio,643
requests,630
curl,627
debconf-2.0,625
gcc-12-cross-ports,616
adduser,599
libpng1.6,575
cross-toolchain-base-mipsen,572
lapack,561
libxcb,540
cross-toolchain-base-ports,515
sqlite3,511
dconf,503
kf6-ki18n,503
perlapi-5.40.0,497
libjpeg-turbo,495
gcc-defaults,485
tasksel,477
kf6-kcoreaddons,476
emacs,473
gcc-12-cross,466
gcc-13-cross,466
gsettings-backend,464
libghc-bytestring-dev-0.11.5.3-7048d,461
libghc-bytestring-prof-0.11.5.3-7048d,460
emacsen-common,458
r-base,453
opencv,450
util-linux,450
librust-serde-1+default-dev,449
r-cran-testthat,448
firefox-esr,436
symfony,435
pygobject,428
mrpt,416
dh-elpa,415
sphinx-rtd-theme,406
librust-libc-0.2+default-dev,400
nodejs,397
cross-toolchain-base,393
libghc-containers-dev-0.6.7-7a228,391
libghc-containers-prof-0.6.7-7a228,390
java-common,387
libxext,380
wayland,370
libghc-text-dev-2.0.2-5b954,363
pyyaml,363
libghc-text-prof-2.0.2-5b954,362
bzip2,360
dbus,359
ruby-interpreter,351
php-laravel-framework,350
erlang,346
ocaml-5.3.0,341
freetype,338
numactl,338
libstdlib-ocaml-dev-m4xw9,336
pyside6,336
libwww-perl,331
setuptools,331
trilinos,328
alsa-lib,327
python3-supported-min,325
librust-serde-1+derive-dev,321
python3.13,309
efl,307
golang-testify,307
dictionaries-common,306
gcc-defaults-mipsen,305
liburi-perl,304
readline,304
gst-plugins-base1.0,302
